Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	
0.051935	62.348	0.2839	63.857	0.29362
0.10387	63.117	0.28316	66.159	0.28981
0.1558	63.256	0.28223	66.306	0.28884
0.20774	63.296	0.28185	66.347	0.28846
0.25967	63.33	0.28247	66.385	0.28907
0.31161	63.32	0.28132	66.373	0.28791
0.36354	63.461	0.28063	66.522	0.2872
0.41548	63.494	0.28124	66.557	0.28782
0.46741	63.579	0.27996	66.646	0.28652
0.51935	63.601	0.2783	66.669	0.28484
0.57128	63.676	0.27874	66.749	0.28528
0.62321	63.76	0.27798	66.837	0.28452
0.67515	63.87	0.27654	66.952	0.28306
0.72708	63.944	0.27634	67.031	0.28285
0.77902	63.95	0.27544	67.038	0.28194
0.83095	64.094	0.27459	67.189	0.28108
0.88289	64.187	0.27358	67.287	0.28007
0.93482	64.24	0.27431	67.344	0.28079
0.98676	64.25	0.27373	67.354	0.28021
1.0387	64.383	0.27286	67.494	0.27932
1.0906	64.379	0.27302	67.49	0.27948
1.1426	64.423	0.2723	67.536	0.27874
1.1945	64.386	0.27219	67.497	0.27864
1.2464	64.47	0.27254	67.586	0.27898
1.2984	64.538	0.27289	67.657	0.27932
1.3503	64.574	0.27134	67.695	0.27776
1.4022	64.636	0.2718	67.761	0.27822
1.4542	64.731	0.27126	67.861	0.27766
1.5061	64.739	0.27177	67.87	0.27817
1.558	64.834	0.27169	67.969	0.27809
1.61	64.854	0.27235	67.991	0.27874
1.6619	64.966	0.27108	68.108	0.27745
1.7138	64.927	0.27128	68.068	0.27765
1.7658	64.997	0.27147	68.141	0.27784
1.8177	65.03	0.27118	68.176	0.27754
1.8696	65.116	0.27086	68.267	0.2772
1.9216	65.118	0.27108	68.27	0.27742
1.9735	65.187	0.26999	68.341	0.27632
2.0254	65.193	0.27044	68.349	0.27677
2.0774	65.302	0.27048	68.463	0.2768
2.1293	65.334	0.27074	68.497	0.27706
2.1813	65.466	0.27013	68.637	0.27644
2.2332	65.639	0.26926	68.818	0.27556
2.2851	65.568	0.27085	68.746	0.27716
2.3371	65.552	0.27102	68.729	0.27733
2.389	65.622	0.27087	68.803	0.27718
2.4409	65.725	0.27111	68.912	0.27742
2.4929	65.799	0.27187	68.991	0.27818
2.5448	65.828	0.27193	69.022	0.27825
2.5967	65.843	0.27247	69.038	0.27878
2.6487	65.924	0.2722	69.124	0.2785
2.7006	65.927	0.27225	69.128	0.27855
2.7525	65.988	0.27293	69.193	0.27922
2.8045	66.095	0.27275	69.305	0.27903
2.8564	66.166	0.27267	69.38	0.27895
2.9083	66.189	0.27364	69.406	0.27993
2.9603	66.254	0.27362	69.474	0.2799
3.0122	66.285	0.2743	69.507	0.28058
3.0641	66.243	0.27442	69.464	0.28069
3.1161	66.267	0.27355	69.489	0.27982
3.168	66.3	0.27379	69.524	0.28005
3.2199	66.28	0.27358	69.503	0.27985
3.2719	66.385	0.27421	69.614	0.28047
3.3238	66.485	0.27466	69.719	0.28092
3.3757	66.5	0.27491	69.736	0.28117
3.4277	66.592	0.27459	69.833	0.28084
3.4796	66.568	0.27501	69.808	0.28127
3.5316	66.645	0.27539	69.889	0.28164
3.5835	66.688	0.27487	69.935	0.28112
3.6354	66.679	0.27543	69.926	0.28168
3.6874	66.754	0.27555	70.005	0.28179
3.7393	66.812	0.27519	70.067	0.28143
3.7912	66.822	0.27505	70.077	0.28128
3.8432	66.915	0.27484	70.175	0.28107
3.8951	66.947	0.27529	70.21	0.28152
3.947	67.01	0.27462	70.277	0.28084
3.999	67.073	0.27455	70.343	0.28076
4.0509	67.144	0.27418	70.418	0.28038
4.1028	67.185	0.27455	70.462	0.28076
4.1548	67.28	0.27445	70.563	0.28065
4.2067	67.346	0.27494	70.632	0.28113
4.2586	67.381	0.27504	70.669	0.28124
4.3106	67.44	0.27541	70.732	0.2816
4.3625	67.473	0.27531	70.766	0.28149
4.4144	67.481	0.27507	70.776	0.28126
4.4664	67.561	0.27531	70.86	0.28149
4.5183	67.633	0.27439	70.935	0.28056
4.5702	67.688	0.27529	70.994	0.28146
4.6222	67.746	0.27581	71.056	0.28198
4.6741	67.782	0.27519	71.094	0.28137
4.726	67.825	0.27673	71.14	0.28291
4.778	67.865	0.2763	71.181	0.28247
4.8299	67.961	0.27581	71.283	0.28197
4.8818	67.976	0.27603	71.299	0.28218
4.9338	68.033	0.27519	71.359	0.28134
4.9857	68.066	0.27533	71.394	0.28148
