Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.053591	64.005	0.28876	65.477	0.29053	0.053591	40.755	0.46365
0.10718	64.049	0.28957	67.716	0.28492	0.10718	40.753	0.46315
0.16077	64.042	0.28974	67.708	0.2851	0.16077	40.831	0.46277
0.21436	64.183	0.28791	67.857	0.28328	0.21436	40.924	0.46295
0.26795	64.196	0.28884	67.87	0.2842	0.26795	40.958	0.46206
0.32154	64.222	0.28911	67.897	0.28448	0.32154	40.949	0.46101
0.37513	64.277	0.28896	67.954	0.28434	0.37513	40.969	0.46019
0.42872	64.283	0.28869	67.96	0.28407	0.42872	40.984	0.45989
0.48232	64.314	0.28844	67.993	0.28382	0.48232	40.976	0.4601
0.53591	64.333	0.28807	68.012	0.28346	0.53591	41.006	0.46006
0.5895	64.404	0.28725	68.087	0.28265	0.5895	41.072	0.45994
0.64309	64.433	0.28767	68.116	0.28307	0.64309	41.082	0.45973
0.69668	64.498	0.28725	68.185	0.28266	0.69668	41.121	0.45985
0.75027	64.535	0.28723	68.223	0.28264	0.75027	41.161	0.45905
0.80386	64.597	0.28661	68.289	0.28202	0.80386	41.191	0.45888
0.85745	64.628	0.28601	68.321	0.28144	0.85745	41.195	0.45936
0.91104	64.672	0.28598	68.367	0.28141	0.91104	41.211	0.45898
0.96463	64.711	0.28583	68.407	0.28126	0.96463	41.235	0.45844
1.0182	64.698	0.28534	68.393	0.28077	1.0182	41.224	0.45859
1.0718	64.753	0.28542	68.451	0.28087	1.0718	41.243	0.45789
1.1254	64.803	0.28512	68.503	0.28056	1.1254	41.296	0.45751
1.179	64.818	0.28507	68.519	0.28051	1.179	41.327	0.45732
1.2326	64.866	0.28548	68.569	0.28093	1.2326	41.337	0.45675
1.2862	64.985	0.28463	68.693	0.2801	1.2862	41.408	0.45695
1.3398	65.007	0.28495	68.717	0.28042	1.3398	41.419	0.45608
1.3934	64.983	0.28504	68.691	0.28051	1.3934	41.379	0.45612
1.4469	65.069	0.28464	68.782	0.28011	1.4469	41.398	0.45591
1.5005	65.126	0.28442	68.841	0.2799	1.5005	41.422	0.45634
1.5541	65.194	0.28444	68.913	0.27991	1.5541	41.436	0.45563
1.6077	65.249	0.28449	68.97	0.27996	1.6077	41.44	0.45541
1.6613	65.309	0.28496	69.032	0.28044	1.6613	41.45	0.45437
1.7149	65.352	0.28459	69.078	0.28009	1.7149	41.458	0.45429
1.7685	65.383	0.28366	69.11	0.27916	1.7685	41.485	0.45461
1.8221	65.456	0.2835	69.187	0.27901	1.8221	41.511	0.45399
1.8757	65.483	0.28335	69.214	0.27887	1.8757	41.519	0.45384
1.9293	65.525	0.28265	69.258	0.27818	1.9293	41.54	0.4531
1.9829	65.615	0.28171	69.353	0.27726	1.9829	41.608	0.45212
2.0364	65.588	0.28174	69.324	0.27728	2.0364	41.609	0.45235
2.09	65.629	0.28163	69.366	0.27718	2.09	41.635	0.45182
2.1436	65.701	0.28089	69.442	0.27645	2.1436	41.676	0.45095
2.1972	65.768	0.28092	69.511	0.2765	2.1972	41.704	0.44977
2.2508	65.845	0.28047	69.592	0.27605	2.2508	41.712	0.44882
2.3044	65.906	0.28039	69.656	0.27599	2.3044	41.715	0.44779
2.358	65.986	0.27961	69.741	0.27521	2.358	41.753	0.44739
2.4116	65.974	0.27957	69.727	0.27518	2.4116	41.683	0.44746
2.4652	66.081	0.27889	69.84	0.27451	2.4652	41.717	0.44715
2.5188	66.135	0.27881	69.897	0.27444	2.5188	41.692	0.44723
2.5723	66.169	0.27856	69.931	0.2742	2.5723	41.701	0.44702
2.6259	66.218	0.2784	69.983	0.27404	2.6259	41.719	0.4464
2.6795	66.261	0.2781	70.028	0.27375	2.6795	41.729	0.44609
2.7331	66.311	0.27769	70.081	0.27335	2.7331	41.749	0.44557
2.7867	66.328	0.2775	70.098	0.27316	2.7867	41.763	0.44551
2.8403	66.344	0.27749	70.115	0.27315	2.8403	41.767	0.44548
2.8939	66.423	0.27717	70.197	0.27285	2.8939	41.785	0.44489
2.9475	66.427	0.27624	70.201	0.27192	2.9475	41.793	0.44574
3.0011	66.483	0.27596	70.26	0.27164	3.0011	41.788	0.44533
3.0547	66.52	0.27547	70.298	0.27117	3.0547	41.777	0.4452
3.1083	66.576	0.27384	70.358	0.26954	3.1083	41.851	0.44544
3.1618	66.572	0.27357	70.353	0.26928	3.1618	41.841	0.44525
3.2154	66.634	0.2728	70.418	0.26851	3.2154	41.91	0.4451
3.269	66.626	0.27302	70.409	0.26874	3.269	41.9	0.44479
3.3226	66.676	0.27253	70.462	0.26826	3.3226	41.919	0.44483
3.3762	66.697	0.27291	70.484	0.26863	3.3762	41.908	0.44423
3.4298	66.698	0.27285	70.484	0.26857	3.4298	41.92	0.44408
3.4834	66.765	0.27264	70.555	0.26837	3.4834	41.956	0.44343
3.537	66.787	0.2721	70.577	0.26784	3.537	42.002	0.44245
3.5906	66.872	0.27151	70.666	0.26726	3.5906	42.047	0.4414
3.6442	66.885	0.27193	70.68	0.26767	3.6442	42.044	0.44125
3.6977	66.919	0.27225	70.715	0.268	3.6977	42.048	0.44043
3.7513	66.995	0.27235	70.795	0.26811	3.7513	42.073	0.43944
3.8049	67.02	0.27123	70.821	0.26699	3.8049	42.125	0.44055
3.8585	67.04	0.27137	70.841	0.26713	3.8585	42.124	0.44013
3.9121	67.107	0.27147	70.911	0.26724	3.9121	42.139	0.43943
3.9657	67.148	0.27109	70.954	0.26686	3.9657	42.157	0.43963
4.0193	67.226	0.27134	71.036	0.26711	4.0193	42.153	0.4383
4.0729	67.275	0.27155	71.087	0.26733	4.0729	42.137	0.43795
4.1265	67.332	0.27072	71.148	0.26651	4.1265	42.142	0.43803
4.1801	67.347	0.27099	71.163	0.26677	4.1801	42.151	0.43765
4.2337	67.423	0.27126	71.242	0.26704	4.2337	42.138	0.43663
4.2872	67.468	0.27138	71.289	0.26717	4.2872	42.157	0.43618
4.3408	67.52	0.27161	71.343	0.2674	4.3408	42.147	0.43558
4.3944	67.547	0.27128	71.372	0.26708	4.3944	42.155	0.43562
4.448	67.566	0.27149	71.391	0.2673	4.448	42.187	0.43565
4.5016	67.579	0.27107	71.404	0.26687	4.5016	42.2	0.43545
4.5552	67.618	0.27104	71.445	0.26686	4.5552	42.214	0.43496
4.6088	67.634	0.27063	71.462	0.26644	4.6088	42.235	0.43511
4.6624	67.636	0.27081	71.463	0.26662	4.6624	42.258	0.43469
4.716	67.647	0.27061	71.475	0.26643	4.716	42.284	0.43488
4.7696	67.664	0.27094	71.492	0.26675	4.7696	42.299	0.43507
4.8232	67.689	0.27086	71.517	0.26668	4.8232	42.29	0.43497
4.8767	67.77	0.27072	71.602	0.26655	4.8767	42.319	0.43466
