Time	Fascicle Length R1_F1	Pennation Angle R1_F1	
0.051935	60.093	0.26551
0.10387	60.1	0.26499
0.1558	60.149	0.26418
0.20774	60.174	0.26373
0.25967	60.174	0.26363
0.31161	60.232	0.26342
0.36354	60.232	0.26322
0.41548	60.241	0.26317
0.46741	60.286	0.2626
0.51935	60.344	0.26195
0.57128	60.334	0.2616
0.62321	60.403	0.26112
0.67515	60.438	0.26051
0.72708	60.468	0.26057
0.77902	60.502	0.25979
0.83095	60.589	0.25986
0.88289	60.637	0.25975
0.93482	60.63	0.25957
0.98676	60.66	0.25978
1.0387	60.7	0.25893
1.0906	60.723	0.25879
1.1426	60.721	0.25919
1.1945	60.763	0.25855
1.2464	60.821	0.25834
1.2984	60.829	0.25838
1.3503	60.902	0.25779
1.4022	60.926	0.25764
1.4542	60.951	0.25742
1.5061	61	0.25699
1.558	61.052	0.2568
1.61	61.144	0.25609
1.6619	61.161	0.256
1.7138	61.124	0.25611
1.7658	61.224	0.25585
1.8177	61.278	0.25535
1.8696	61.209	0.25495
1.9216	61.23	0.25441
1.9735	61.309	0.25373
2.0254	61.268	0.2536
2.0774	61.242	0.25458
2.1293	61.371	0.25428
2.1813	61.327	0.25466
2.2332	61.416	0.25428
2.2851	61.498	0.25409
2.3371	61.587	0.2538
2.389	61.582	0.25393
2.4409	61.66	0.25238
2.4929	61.76	0.25308
2.5448	61.795	0.2528
2.5967	61.968	0.25216
2.6487	62.128	0.25083
2.7006	62.059	0.2505
2.7525	61.996	0.24983
2.8045	62.132	0.24835
2.8564	62.178	0.24782
2.9083	62.234	0.24776
2.9603	62.298	0.24714
3.0122	62.328	0.24617
3.0641	62.389	0.24663
3.1161	62.441	0.24567
3.168	62.401	0.24604
3.2199	62.445	0.24629
3.2719	62.427	0.24634
3.3238	62.513	0.24518
3.3757	62.596	0.24667
3.4277	62.586	0.24677
3.4796	62.618	0.2465
3.5316	62.671	0.2464
3.5835	62.796	0.24489
3.6354	62.714	0.24516
3.6874	62.773	0.24473
3.7393	62.847	0.24462
3.7912	62.891	0.24442
3.8432	62.87	0.24389
3.8951	63.036	0.24377
3.947	63.052	0.2435
3.999	63.066	0.24288
4.0509	63.033	0.24267
4.1028	63.019	0.24215
4.1548	63.021	0.24211
4.2067	63.022	0.24162
4.2586	63.067	0.2419
4.3106	63.158	0.24137
4.3625	63.094	0.24129
4.4144	63.114	0.24235
4.4664	63.203	0.24291
4.5183	63.239	0.24233
4.5702	63.262	0.24153
4.6222	63.329	0.24104
4.6741	63.367	0.23994
4.726	63.463	0.23949
4.778	63.407	0.23957
4.8299	63.474	0.23893
4.8818	63.485	0.23861
4.9338	63.532	0.23828
4.9857	63.654	0.23825
5.0377	63.7	0.23812
5.0896	63.725	0.23757
5.1415	63.828	0.23704
5.1935	63.915	0.23738
5.2454	63.981	0.23741
5.2973	63.987	0.23756
5.3493	64.05	0.23683
5.4012	64.109	0.23653
5.4531	64.098	0.23699
5.5051	64.203	0.23695
5.557	64.272	0.23705
5.6089	64.299	0.23712
5.6609	64.435	0.23767
5.7128	64.441	0.2377
5.7647	64.472	0.23795
5.8167	64.503	0.2377
5.8686	64.548	0.23713
5.9205	64.596	0.23684
5.9725	64.591	0.2375
6.0244	64.713	0.23688
6.0763	64.726	0.23775
6.1283	64.771	0.23824
6.1802	64.789	0.23884
6.2321	64.819	0.23924
6.2841	64.894	0.23954
6.336	64.858	0.23975
6.388	64.916	0.24062
6.4399	64.949	0.24141
6.4918	64.973	0.24193
6.5438	65.028	0.24231
6.5957	65.142	0.24189
6.6476	65.177	0.2429
6.6996	65.259	0.24263
6.7515	65.2	0.24317
6.8034	65.244	0.24295
6.8554	65.217	0.24329
6.9073	65.246	0.24308
6.9592	65.266	0.24293
7.0112	65.267	0.24368
7.0631	65.267	0.24438
7.115	65.281	0.24411
7.167	65.304	0.24463
7.2189	65.382	0.24544
7.2708	65.349	0.24667
7.3228	65.398	0.24624
7.3747	65.429	0.24636
7.4266	65.342	0.24724
7.4786	65.422	0.2466
7.5305	65.472	0.24681
7.5824	65.558	0.24695
7.6344	65.499	0.24647
7.6863	65.606	0.24656
7.7382	65.616	0.24613
7.7902	65.569	0.24629
7.8421	65.623	0.24583
7.8941	65.671	0.24579
7.946	65.715	0.24575
7.9979	65.742	0.24698
8.0499	65.724	0.24723
8.1018	65.765	0.24613
8.1537	65.953	0.24597
8.2057	65.959	0.24585
8.2576	66.027	0.24435
8.3095	66.043	0.24525
8.3615	66.069	0.24482
8.4134	66.095	0.24478
8.4653	66.214	0.24502
8.5173	66.253	0.24517
8.5692	66.256	0.24472
8.6211	66.26	0.24464
8.6731	66.276	0.24433
8.725	66.321	0.24401
8.7769	66.292	0.24445
8.8289	66.326	0.24485
8.8808	66.387	0.24442
8.9327	66.407	0.24441
8.9847	66.396	0.24421
9.0366	66.482	0.24356
9.0885	66.485	0.2443
9.1405	66.519	0.24287
9.1924	66.57	0.24259
9.2444	66.648	0.24185
9.2963	66.586	0.24145
9.3482	66.66	0.24081
9.4002	66.638	0.24112
9.4521	66.628	0.2407
9.504	66.644	0.24035
9.556	66.55	0.2405
9.6079	66.59	0.24069
9.6598	66.58	0.24017
9.7118	66.589	0.23988
9.7637	66.558	0.23982
9.8156	66.539	0.23982
9.8676	66.588	0.2399
9.9195	66.55	0.23957
9.9714	66.593	0.23967
10.023	66.6	0.23997
10.075	66.624	0.23962
10.127	66.562	0.23926
10.179	66.641	0.23942
10.231	66.658	0.23901
10.283	66.617	0.23896
10.335	66.708	0.23856
10.387	66.63	0.23921
10.439	66.668	0.23779
10.491	66.655	0.23802
10.543	66.717	0.23885
10.595	66.624	0.2386
10.647	66.564	0.23884
10.699	66.613	0.23802
10.75	66.52	0.2391
10.802	66.647	0.2385
10.854	66.649	0.23915
10.906	66.675	0.23975
10.958	66.721	0.23943
11.01	66.697	0.23944
11.062	66.76	0.2395
11.114	66.738	0.23986
11.166	66.717	0.2398
11.218	66.822	0.23871
11.27	66.768	0.2385
11.322	66.799	0.2394
11.374	66.821	0.23933
11.426	66.794	0.24075
11.478	66.835	0.24062
11.529	66.807	0.24059
11.581	66.876	0.24103
11.633	66.852	0.24148
11.685	67.018	0.24159
11.737	67.079	0.24114
11.789	67.1	0.24183
11.841	67.11	0.24216
11.893	67.109	0.24226
11.945	67.15	0.24268
11.997	67.199	0.2427
12.049	67.207	0.24338
12.101	67.214	0.24328
12.153	67.273	0.24382
12.205	67.215	0.24352
12.257	67.225	0.24341
12.308	67.184	0.24391
12.36	67.094	0.2439
12.412	67.081	0.24324
12.464	67.084	0.2432
12.516	67.106	0.243
12.568	67.145	0.24202
12.62	67.12	0.24164
12.672	67.163	0.24148
12.724	67.196	0.24127
12.776	67.195	0.2409
12.828	67.191	0.24004
12.88	67.162	0.24037
12.932	67.142	0.23908
12.984	67.19	0.23882
13.036	67.18	0.23881
13.088	67.268	0.23933
13.139	67.219	0.23853
13.191	67.211	0.23815
13.243	67.215	0.23713
13.295	67.284	0.23739
13.347	67.278	0.23716
13.399	67.341	0.23724
13.451	67.258	0.23701
13.503	67.351	0.23746
13.555	67.354	0.23661
13.607	67.43	0.237
13.659	67.394	0.23636
13.711	67.429	0.23667
