Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	
0.051935	55.067	0.17173	55.609	0.1654
0.10387	56.364	0.16807	56.95	0.15726
0.1558	56.444	0.16767	57.03	0.15689
0.20774	56.491	0.16741	57.075	0.15664
0.25967	56.512	0.1672	57.096	0.15645
0.31161	56.588	0.16759	57.171	0.15688
0.36354	56.604	0.16686	57.187	0.15617
0.41548	56.624	0.16678	57.205	0.15611
0.46741	56.644	0.16629	57.224	0.15563
0.51935	56.65	0.16561	57.23	0.15495
0.57128	56.72	0.16503	57.3	0.1544
0.62321	56.709	0.16426	57.287	0.15364
0.67515	56.787	0.16371	57.366	0.15312
0.72708	56.724	0.16311	57.302	0.15251
0.77902	56.826	0.16253	57.405	0.15194
0.83095	56.792	0.16249	57.368	0.1519
0.88289	56.855	0.16204	57.432	0.15147
0.93482	56.798	0.16234	57.374	0.15176
0.98676	56.842	0.16191	57.418	0.15133
1.0387	56.808	0.16203	57.383	0.15144
1.0906	56.825	0.16165	57.401	0.15106
1.1426	56.863	0.16178	57.438	0.15119
1.1945	56.826	0.16155	57.398	0.15095
1.2464	56.833	0.16196	57.405	0.15136
1.2984	56.942	0.16211	57.514	0.15153
1.3503	56.903	0.16239	57.474	0.15181
1.4022	56.954	0.16158	57.524	0.15101
1.4542	56.902	0.16172	57.471	0.15115
1.5061	56.904	0.16163	57.472	0.15105
1.558	56.938	0.16091	57.505	0.15034
1.61	56.942	0.1613	57.508	0.15073
1.6619	56.963	0.16172	57.528	0.15115
1.7138	56.963	0.16158	57.528	0.15101
1.7658	56.976	0.16141	57.54	0.15085
1.8177	56.947	0.16207	57.51	0.15151
1.8696	56.973	0.16125	57.537	0.15068
1.9216	56.967	0.16145	57.529	0.15088
1.9735	56.982	0.16185	57.544	0.15128
2.0254	57.022	0.16134	57.583	0.15078
2.0774	57.037	0.16149	57.598	0.15093
2.1293	57.025	0.16154	57.584	0.15098
2.1813	57.021	0.16157	57.578	0.15102
2.2332	57.049	0.16151	57.606	0.15096
2.2851	57.087	0.16152	57.644	0.15099
2.3371	57.066	0.16173	57.622	0.15119
2.389	57.097	0.16141	57.651	0.15089
2.4409	57.116	0.16142	57.67	0.15091
2.4929	57.158	0.1611	57.712	0.1506
2.5448	57.174	0.16105	57.728	0.15055
2.5967	57.161	0.1607	57.713	0.1502
2.6487	57.17	0.16108	57.721	0.15057
2.7006	57.171	0.16082	57.721	0.15032
2.7525	57.196	0.15975	57.745	0.14926
2.8045	57.185	0.16011	57.733	0.14961
2.8564	57.214	0.16003	57.762	0.14953
2.9083	57.206	0.15954	57.753	0.14905
2.9603	57.202	0.15951	57.748	0.14903
3.0122	57.194	0.15952	57.739	0.14903
3.0641	57.263	0.15926	57.808	0.14878
3.1161	57.261	0.1591	57.805	0.14862
3.168	57.251	0.15946	57.795	0.14898
3.2199	57.256	0.15939	57.799	0.14892
3.2719	57.288	0.15938	57.829	0.14892
3.3238	57.317	0.1596	57.859	0.14916
3.3757	57.323	0.15961	57.863	0.14917
3.4277	57.309	0.15986	57.848	0.14942
3.4796	57.318	0.16005	57.856	0.14961
3.5316	57.35	0.16015	57.889	0.14972
3.5835	57.358	0.15975	57.895	0.14932
3.6354	57.362	0.15986	57.898	0.14944
3.6874	57.386	0.16007	57.921	0.14964
3.7393	57.36	0.16013	57.896	0.14969
3.7912	57.396	0.16013	57.931	0.14969
3.8432	57.381	0.16056	57.915	0.15012
3.8951	57.362	0.16091	57.895	0.15046
3.947	57.392	0.16097	57.925	0.15052
3.999	57.395	0.16124	57.927	0.15079
4.0509	57.377	0.16132	57.907	0.15087
4.1028	57.458	0.1611	57.99	0.15067
4.1548	57.368	0.16116	57.897	0.15072
4.2067	57.433	0.16086	57.963	0.15042
4.2586	57.41	0.16046	57.939	0.15003
4.3106	57.423	0.16065	57.951	0.15022
4.3625	57.434	0.16141	57.961	0.15097
4.4144	57.481	0.16148	58.008	0.15106
4.4664	57.441	0.1618	57.967	0.15137
4.5183	57.469	0.16095	57.994	0.15053
4.5702	57.525	0.16133	58.051	0.15092
4.6222	57.509	0.16159	58.033	0.15119
4.6741	57.563	0.16149	58.087	0.1511
4.726	57.469	0.16173	57.991	0.15132
4.778	57.597	0.16195	58.12	0.15155
4.8299	57.617	0.16228	58.139	0.15188
4.8818	57.602	0.16238	58.124	0.152
4.9338	57.552	0.16279	58.072	0.1524
4.9857	57.602	0.16325	58.122	0.15287
5.0377	57.622	0.16318	58.142	0.15281
5.0896	57.631	0.16279	58.151	0.15242
5.1415	57.643	0.16305	58.162	0.15269
5.1935	57.656	0.16293	58.175	0.15256
5.2454	57.694	0.16302	58.212	0.15266
5.2973	57.641	0.16321	58.158	0.15284
5.3493	57.669	0.16389	58.186	0.15351
5.4012	57.754	0.16363	58.271	0.15328
5.4531	57.704	0.16362	58.219	0.15326
5.5051	57.754	0.1639	58.269	0.15356
5.557	57.755	0.16412	58.269	0.15378
5.6089	57.783	0.16309	58.298	0.15277
5.6609	57.79	0.16322	58.304	0.15289
5.7128	57.755	0.16372	58.267	0.15338
5.7647	57.772	0.16366	58.284	0.15333
5.8167	57.783	0.1636	58.296	0.15327
5.8686	57.754	0.16424	58.265	0.1539
5.9205	57.816	0.16453	58.327	0.15419
5.9725	57.852	0.16486	58.363	0.15455
6.0244	57.832	0.16521	58.342	0.1549
6.0763	57.85	0.16504	58.36	0.15475
6.1283	57.839	0.16529	58.348	0.15499
