Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.055261	57.732	0.19956	60.59	0.16515	0.055261	47.676	0.57321
0.11052	57.766	0.19919	60.624	0.16478	0.11052	52.466	0.55316
0.16578	57.753	0.19915	60.607	0.16471	0.16578	52.466	0.55366
0.22104	57.798	0.19895	60.651	0.16455	0.22104	52.497	0.55371
0.2763	57.836	0.19915	60.687	0.16477	0.2763	52.517	0.55369
0.33156	57.87	0.1994	60.721	0.16507	0.33156	52.516	0.55341
0.38683	57.887	0.19931	60.738	0.16504	0.38683	52.508	0.55279
0.44209	57.905	0.19887	60.756	0.1646	0.44209	52.548	0.5527
0.49735	57.982	0.19874	60.834	0.16451	0.49735	52.575	0.55223
0.55261	58.013	0.19853	60.864	0.16432	0.55261	52.585	0.55257
0.60787	58.067	0.1978	60.92	0.16363	0.60787	52.643	0.55259
0.66313	58.077	0.19759	60.927	0.16342	0.66313	52.631	0.5532
0.71839	58.126	0.19751	60.978	0.16336	0.71839	52.662	0.55322
0.77365	58.125	0.1975	60.976	0.16337	0.77365	52.673	0.55279
0.82891	58.179	0.19717	61.031	0.16308	0.82891	52.703	0.5527
0.88417	58.223	0.19676	61.075	0.16271	0.88417	52.722	0.55287
0.93943	58.249	0.19661	61.101	0.16256	0.93943	52.744	0.55295
0.99469	58.28	0.19672	61.131	0.16272	0.99469	52.762	0.55235
1.05	58.325	0.19683	61.178	0.16287	1.05	52.777	0.55139
1.1052	58.385	0.19639	61.239	0.16249	1.1052	52.831	0.55097
1.1605	58.398	0.19614	61.251	0.16226	1.1605	52.851	0.55127
1.2157	58.497	0.19593	61.351	0.16213	1.2157	52.877	0.55075
1.271	58.493	0.19535	61.347	0.16154	1.271	52.89	0.55187
1.3263	58.52	0.19556	61.371	0.16178	1.3263	52.909	0.55121
1.3815	58.565	0.19506	61.418	0.16132	1.3815	52.913	0.55141
1.4368	58.538	0.19498	61.388	0.1612	1.4368	52.921	0.55201
1.492	58.631	0.19494	61.481	0.16124	1.492	52.941	0.55116
1.5473	58.633	0.19466	61.481	0.16096	1.5473	52.939	0.55189
1.6026	58.636	0.19445	61.484	0.16075	1.6026	52.946	0.55187
1.6578	58.707	0.19407	61.555	0.16043	1.6578	52.979	0.552
1.7131	58.733	0.19382	61.581	0.16018	1.7131	52.992	0.55227
1.7683	58.753	0.1941	61.598	0.16049	1.7683	53.024	0.55171
1.8236	58.836	0.19367	61.683	0.16015	1.8236	53.059	0.55078
1.8789	58.817	0.19374	61.662	0.16022	1.8789	53.053	0.55089
1.9341	58.821	0.1936	61.664	0.16009	1.9341	53.095	0.55098
1.9894	58.891	0.19342	61.736	0.15995	1.9894	53.087	0.55034
2.0447	58.906	0.19301	61.752	0.15959	2.0447	53.099	0.55033
2.0999	58.927	0.19243	61.772	0.159	2.0999	53.135	0.55093
2.1552	58.957	0.19233	61.801	0.15892	2.1552	53.152	0.55109
2.2104	59.023	0.19223	61.867	0.15888	2.2104	53.172	0.55068
2.2657	59.007	0.19215	61.851	0.15879	2.2657	53.174	0.55119
2.321	58.995	0.19196	61.838	0.15858	2.321	53.201	0.55132
2.3762	59.056	0.19198	61.899	0.15864	2.3762	53.225	0.55053
2.4315	59.043	0.19162	61.885	0.15828	2.4315	53.236	0.5511
2.4867	59.101	0.1915	61.943	0.15821	2.4867	53.248	0.55065
2.542	59.153	0.19118	61.996	0.15794	2.542	53.27	0.55041
2.5973	59.169	0.19111	62.01	0.15788	2.5973	53.278	0.55063
