Time	Fascicle Length R1_F1	Pennation Angle R1_F1	
0.051935	48.422	0.24583
0.10387	48.43	0.2457
0.1558	48.416	0.24526
0.20774	48.47	0.24432
0.25967	48.489	0.24409
0.31161	48.551	0.24365
0.36354	48.557	0.24356
0.41548	48.672	0.24319
0.46741	48.703	0.24263
0.51935	48.743	0.24229
0.57128	48.817	0.24171
0.62321	48.835	0.24176
0.67515	48.841	0.24162
0.72708	48.948	0.24218
0.77902	48.915	0.2418
0.83095	49.005	0.24194
0.88289	49.053	0.24153
0.93482	49.061	0.24056
0.98676	49.072	0.24006
1.0387	49.082	0.23947
1.0906	49.038	0.23929
1.1426	49.069	0.23873
1.1945	49.062	0.23836
1.2464	48.999	0.23799
1.2984	48.936	0.23741
1.3503	48.938	0.23716
1.4022	49.051	0.23608
1.4542	49.055	0.23603
1.5061	49.092	0.23521
1.558	49.121	0.23507
1.61	49.133	0.23489
1.6619	49.195	0.23427
1.7138	49.193	0.23397
1.7658	49.254	0.23371
1.8177	49.275	0.23341
1.8696	49.293	0.23363
1.9216	49.354	0.23312
1.9735	49.382	0.23221
2.0254	49.394	0.23223
2.0774	49.433	0.23178
2.1293	49.505	0.23108
2.1813	49.502	0.23077
2.2332	49.572	0.23024
2.2851	49.627	0.23015
2.3371	49.624	0.22959
2.389	49.687	0.22912
2.4409	49.741	0.22896
2.4929	49.727	0.2288
2.5448	49.768	0.22859
2.5967	49.766	0.22798
2.6487	49.735	0.22775
2.7006	49.89	0.22788
2.7525	49.899	0.22748
2.8045	50.039	0.22712
2.8564	50.042	0.22665
2.9083	50.084	0.22659
2.9603	50.145	0.22647
3.0122	50.192	0.22594
3.0641	50.255	0.22561
3.1161	50.369	0.22542
3.168	50.453	0.22496
3.2199	50.533	0.22517
3.2719	50.545	0.22511
3.3238	50.593	0.22518
3.3757	50.692	0.22547
3.4277	50.646	0.22491
3.4796	50.747	0.22482
3.5316	50.855	0.22396
3.5835	50.818	0.22399
3.6354	50.869	0.22353
3.6874	50.909	0.22368
3.7393	50.822	0.22351
3.7912	50.884	0.22245
3.8432	50.931	0.22259
3.8951	50.931	0.22204
3.947	50.939	0.22201
3.999	51.015	0.2221
4.0509	51.044	0.22111
4.1028	51.033	0.22155
4.1548	51.08	0.22099
4.2067	51.134	0.22082
4.2586	51.117	0.22058
4.3106	51.171	0.22078
4.3625	51.263	0.22057
4.4144	51.291	0.21992
4.4664	51.353	0.21973
4.5183	51.429	0.21971
4.5702	51.435	0.21965
4.6222	51.48	0.21964
4.6741	51.517	0.21998
4.726	51.482	0.21963
4.778	51.538	0.21878
4.8299	51.552	0.21939
4.8818	51.547	0.21885
4.9338	51.575	0.21843
4.9857	51.601	0.21796
5.0377	51.677	0.21813
5.0896	51.714	0.2171
5.1415	51.644	0.21728
5.1935	51.681	0.21674
5.2454	51.763	0.21613
5.2973	51.75	0.21573
5.3493	51.815	0.21559
5.4012	51.837	0.21498
5.4531	51.879	0.21477
5.5051	51.826	0.2145
5.557	51.916	0.21413
5.6089	51.923	0.21321
5.6609	51.963	0.21336
5.7128	52.023	0.21285
5.7647	51.984	0.21311
5.8167	52.004	0.21288
5.8686	52.069	0.21262
5.9205	52.081	0.2123
5.9725	52.082	0.21235
6.0244	52.086	0.21254
6.0763	52.165	0.21265
6.1283	52.156	0.21208
6.1802	52.152	0.21209
6.2321	52.264	0.21155
6.2841	52.256	0.21182
6.336	52.265	0.2115
6.388	52.309	0.21178
6.4399	52.341	0.21098
6.4918	52.363	0.21131
6.5438	52.48	0.21128
6.5957	52.452	0.21135
6.6476	52.492	0.21098
6.6996	52.536	0.21066
6.7515	52.518	0.21027
