Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.055261	57.856	0.23476	66.173	0.20807	0.055261	48.735	0.34376
0.11052	61.615	0.23088	66.175	0.2082	0.11052	48.783	0.34346
0.16578	61.572	0.23091	66.122	0.2082	0.16578	48.702	0.34453
0.22104	61.647	0.23093	66.2	0.20824	0.22104	48.726	0.34386
0.2763	61.704	0.23089	66.255	0.20826	0.2763	48.772	0.34372
0.33156	61.73	0.23054	66.279	0.20791	0.33156	48.759	0.34397
0.38683	61.777	0.2304	66.327	0.2078	0.38683	48.793	0.34329
0.44209	61.796	0.23063	66.346	0.20805	0.44209	48.799	0.34341
0.49735	61.806	0.23047	66.351	0.20787	0.49735	48.825	0.34439
0.55261	61.848	0.2307	66.392	0.20811	0.55261	48.854	0.34354
0.60787	61.878	0.23102	66.419	0.20846	0.60787	48.832	0.3426
0.66313	61.918	0.23066	66.46	0.2081	0.66313	48.888	0.34226
0.71839	61.855	0.23095	66.39	0.20836	0.71839	48.864	0.34225
0.77365	61.911	0.23085	66.445	0.20829	0.77365	48.856	0.34185
0.82891	61.962	0.23041	66.496	0.2079	0.82891	48.865	0.34242
0.88417	62.014	0.23016	66.55	0.20767	0.88417	48.926	0.34236
0.93943	62.003	0.23055	66.536	0.20806	0.93943	48.925	0.34213
0.99469	61.956	0.23103	66.482	0.20851	0.99469	48.911	0.34351
1.05	62.002	0.23134	66.527	0.20882	1.05	48.866	0.34304
1.1052	62.061	0.23139	66.586	0.20892	1.1052	48.891	0.34244
1.1605	62.085	0.23134	66.612	0.20888	1.1605	48.932	0.34165
1.2157	62.113	0.23127	66.638	0.20884	1.2157	48.99	0.34156
1.271	62.09	0.23157	66.609	0.20914	1.271	48.976	0.34212
1.3263	62.104	0.23154	66.621	0.2091	1.3263	48.979	0.34252
1.3815	62.15	0.23142	66.669	0.20901	1.3815	49.007	0.34236
1.4368	62.169	0.23155	66.688	0.20914	1.4368	49.034	0.34168
1.492	62.166	0.23191	66.681	0.20948	1.492	49.033	0.34221
1.5473	62.122	0.23261	66.631	0.21015	1.5473	48.951	0.34229
1.6026	62.15	0.23216	66.656	0.20975	1.6026	48.924	0.34263
1.6578	62.204	0.23191	66.708	0.20953	1.6578	48.971	0.34241
1.7131	62.236	0.23174	66.74	0.20937	1.7131	49.018	0.34235
1.7683	62.228	0.23184	66.729	0.20947	1.7683	49.05	0.34286
1.8236	62.251	0.23264	66.748	0.21026	1.8236	49.014	0.34219
1.8789	62.28	0.23256	66.777	0.2102	1.8789	49.019	0.34222
1.9341	62.271	0.23259	66.765	0.21022	1.9341	48.997	0.34197
1.9894	62.324	0.23269	66.819	0.21036	1.9894	49.024	0.34142
2.0447	62.333	0.23273	66.826	0.21041	2.0447	49.02	0.34172
2.0999	62.332	0.2331	66.822	0.21075	2.0999	49.006	0.34128
2.1552	62.391	0.23276	66.882	0.21044	2.1552	49.018	0.34113
2.2104	62.412	0.23287	66.899	0.21057	2.2104	49.047	0.34159
2.2657	62.421	0.23302	66.904	0.21072	2.2657	49.001	0.34167
2.321	62.441	0.23296	66.92	0.21067	2.321	49.007	0.34242
