Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	
0.055261	45.696	0.17836	46.532	0.221
0.11052	45.85	0.17818	46.696	0.22056
0.16578	45.917	0.17847	46.768	0.22074
0.22104	45.856	0.17923	46.717	0.22143
0.2763	45.956	0.17898	46.826	0.22101
0.33156	45.99	0.17899	46.863	0.22095
0.38683	45.955	0.17856	46.832	0.22051
0.44209	45.986	0.17812	46.863	0.22002
0.49735	46.062	0.17731	46.953	0.2191
0.55261	46.05	0.17722	46.938	0.21899
0.60787	46.11	0.17616	47.005	0.21779
0.66313	46.174	0.17501	47.068	0.21652
0.71839	46.171	0.17479	47.071	0.21623
0.77365	46.185	0.17437	47.089	0.21577
0.82891	46.232	0.17449	47.14	0.21576
0.88417	46.24	0.17416	47.148	0.21541
0.93943	46.254	0.17398	47.164	0.21523
0.99469	46.268	0.17391	47.178	0.21518
1.05	46.254	0.17364	47.164	0.21487
1.1052	46.231	0.17245	47.137	0.21366
1.1605	46.296	0.17165	47.205	0.21279
1.2157	46.314	0.17116	47.225	0.21224
1.271	46.308	0.17085	47.223	0.21191
1.3263	46.363	0.17004	47.283	0.21101
1.3815	46.389	0.16951	47.312	0.21042
1.4368	46.44	0.16854	47.367	0.2093
1.492	46.487	0.16747	47.412	0.20814
1.5473	46.498	0.16694	47.42	0.2076
1.6026	46.523	0.16623	47.45	0.20678
1.6578	46.602	0.16547	47.525	0.20591
1.7131	46.646	0.16464	47.571	0.20502
1.7683	46.636	0.16384	47.558	0.20428
1.8236	46.705	0.16255	47.627	0.20294
1.8789	46.707	0.16287	47.62	0.20334
1.9341	46.797	0.16271	47.723	0.203
1.9894	46.808	0.16264	47.741	0.20289
2.0447	46.899	0.16232	47.838	0.20249
2.0999	46.92	0.1619	47.862	0.20206
2.1552	46.9	0.16162	47.838	0.20186
2.2104	46.924	0.16129	47.858	0.20153
2.2657	46.947	0.16052	47.883	0.20068
2.321	46.978	0.1605	47.913	0.20064
2.3762	46.96	0.16031	47.898	0.20044
2.4315	47.026	0.15964	47.972	0.19962
2.4867	47.117	0.1592	48.072	0.19901
2.542	47.092	0.1595	48.049	0.19929
2.5973	47.138	0.15904	48.103	0.19877
