Time	Fascicle Length R1_F1	Pennation Angle R1_F1	
0.055261	55.004	0.29921
0.11052	54.998	0.29841
0.16578	55.008	0.29843
0.22104	55.032	0.29805
0.2763	55.038	0.29848
0.33156	55.035	0.29749
0.38683	55.038	0.29741
0.44209	55.027	0.29697
0.49735	55.056	0.29726
0.55261	55.053	0.29704
0.60787	55.036	0.2967
0.66313	55.048	0.29666
0.71839	55.021	0.29665
0.77365	55.072	0.29671
0.82891	55.03	0.29584
0.88417	55.039	0.2958
0.93943	55.07	0.2955
0.99469	55.087	0.29555
1.05	55.067	0.29531
1.1052	55.073	0.29528
1.1605	55.109	0.29492
1.2157	55.14	0.29456
1.271	55.149	0.29463
1.3263	55.158	0.2943
1.3815	55.113	0.29445
1.4368	55.135	0.29403
1.492	55.117	0.2937
1.5473	55.072	0.29419
1.6026	55.062	0.29472
1.6578	54.926	0.29548
1.7131	54.874	0.29494
1.7683	54.888	0.29513
1.8236	54.878	0.29507
1.8789	54.844	0.2948
1.9341	54.831	0.2946
1.9894	54.751	0.29501
2.0447	54.692	0.29613
2.0999	54.663	0.29661
2.1552	54.627	0.29649
2.2104	54.622	0.296
2.2657	54.603	0.29574
2.321	54.58	0.29541
2.3762	54.578	0.29529
2.4315	54.569	0.29557
2.4867	54.592	0.2954
2.542	54.547	0.29649
2.5973	54.402	0.29636
2.6525	54.355	0.29648
2.7078	54.369	0.29622
2.763	54.316	0.29622
2.8183	54.304	0.29612
2.8736	54.325	0.29647
2.9288	54.313	0.29632
2.9841	54.285	0.29641
3.0393	54.272	0.2965
3.0946	54.28	0.29635
3.1499	54.248	0.29619
3.2051	54.228	0.29616
3.2604	54.258	0.29625
3.3156	54.213	0.2961
3.3709	54.166	0.2959
3.4262	54.175	0.29581
3.4814	54.178	0.29631
3.5367	54.127	0.29612
3.592	54.1	0.29635
3.6472	54.086	0.29603
3.7025	54.083	0.29576
3.7577	54.057	0.29561
3.813	54.074	0.29617
3.8683	54.058	0.29559
3.9235	54.056	0.29563
3.9788	54.071	0.29577
4.034	53.993	0.29573
4.0893	54.052	0.29578
4.1446	54.001	0.29615
4.1998	53.961	0.29621
4.2551	53.933	0.29587
4.3103	53.96	0.29616
4.3656	53.932	0.2961
4.4209	53.968	0.29636
4.4761	53.984	0.29618
4.5314	53.988	0.29634
4.5866	54.003	0.2964
4.6419	53.991	0.29628
4.6972	54.018	0.29604
4.7524	53.991	0.29567
4.8077	54.022	0.29564
4.863	53.988	0.29539
4.9182	53.987	0.29561
4.9735	53.964	0.2964
5.0287	53.977	0.29653
5.084	53.983	0.29634
5.1393	53.987	0.29612
5.1945	54.005	0.29651
5.2498	54.01	0.29604
5.305	54.027	0.2959
5.3603	54.035	0.29599
5.4156	54.03	0.29565
5.4708	54.021	0.29581
5.5261	54.032	0.29596
5.5813	54.033	0.29641
5.6366	54.076	0.29676
5.6919	54.078	0.29717
5.7471	54.054	0.2969
5.8024	54.062	0.29726
5.8576	54.042	0.29736
5.9129	54.065	0.29758
5.9682	54.083	0.29733
6.0234	54.085	0.29741
6.0787	54.054	0.29747
6.134	54.081	0.2977
6.1892	54.042	0.2969
6.2445	54.11	0.29763
6.2997	54.103	0.29776
6.355	54.081	0.29769
6.4103	54.096	0.29708
6.4655	54.093	0.29663
6.5208	54.137	0.29713
6.576	54.09	0.2966
6.6313	54.11	0.29664
6.6866	54.155	0.29723
6.7418	54.123	0.29778
6.7971	54.117	0.2985
6.8523	54.085	0.29778
6.9076	54.087	0.29886
6.9629	54.113	0.29926
7.0181	54.097	0.29902
7.0734	54.114	0.29957
7.1286	54.128	0.29959
7.1839	54.12	0.29948
7.2392	54.135	0.29994
7.2944	54.183	0.29987
7.3497	54.2	0.30026
7.405	54.241	0.30043
7.4602	54.22	0.29996
7.5155	54.209	0.30006
7.5707	54.19	0.30037
7.626	54.16	0.30103
7.6813	54.152	0.30075
7.7365	54.144	0.30112
7.7918	54.158	0.30166
7.847	54.135	0.3018
7.9023	54.123	0.30198
7.9576	54.142	0.30256
8.0128	54.131	0.30222
8.0681	54.117	0.30241
8.1233	54.124	0.30232
8.1786	54.13	0.30252
8.2339	54.085	0.30263
8.2891	54.089	0.30287
8.3444	54.123	0.30366
8.3996	54.108	0.30421
8.4549	54.187	0.30454
8.5102	54.184	0.30527
8.5654	54.193	0.30494
8.6207	54.165	0.30496
8.676	54.193	0.30592
8.7312	54.172	0.30616
8.7865	54.153	0.30633
8.8417	54.15	0.30625
8.897	54.156	0.30735
8.9523	54.136	0.3077
9.0075	54.147	0.3082
9.0628	54.155	0.30852
9.118	54.126	0.30883
9.1733	54.118	0.30965
9.2286	54.162	0.31001
9.2838	54.154	0.3098
9.3391	54.147	0.30987
