Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Fascicle Length R1_F3	Pennation Angle R1_F3	
0.055261	93.757	0.2118	85.721	0.21679	81.115	0.25353
0.11052	93.758	0.21169	85.722	0.21668	81.118	0.25344
0.16578	93.771	0.21215	85.734	0.21713	81.133	0.25385
0.22104	93.735	0.21259	85.702	0.21757	81.106	0.25426
0.2763	93.746	0.2118	85.711	0.21678	81.111	0.25346
0.33156	93.812	0.21224	85.772	0.21721	81.17	0.25383
0.38683	93.771	0.21169	85.735	0.21667	81.134	0.25331
0.44209	93.821	0.21217	85.78	0.21714	81.181	0.25379
0.49735	93.89	0.21214	85.845	0.21713	81.244	0.25381
0.55261	93.9	0.21239	85.853	0.21739	81.256	0.25419
0.60787	93.897	0.21198	85.851	0.21698	81.254	0.25381
0.66313	93.85	0.21196	85.809	0.21697	81.215	0.25389
0.71839	93.912	0.21247	85.866	0.21748	81.278	0.25434
0.77365	93.92	0.2128	85.874	0.21781	81.286	0.2547
0.82891	93.892	0.21343	85.848	0.21844	81.266	0.2554
0.88417	94	0.21481	85.949	0.21981	81.37	0.25664
0.93943	93.884	0.21334	85.841	0.21834	81.259	0.25516
0.99469	93.97	0.21503	85.921	0.22004	81.347	0.25692
1.05	94.008	0.21675	85.957	0.22175	81.388	0.25855
1.1052	93.955	0.21664	85.909	0.22165	81.343	0.25846
1.1605	93.867	0.21727	85.828	0.22227	81.267	0.25909
1.2157	93.851	0.21828	85.815	0.22329	81.258	0.26019
1.271	93.922	0.21935	85.88	0.22436	81.322	0.26126
1.3263	93.807	0.21779	85.771	0.22281	81.199	0.25978
1.3815	93.463	0.21406	85.451	0.21913	80.853	0.25647
1.4368	93.251	0.21664	85.255	0.22175	80.653	0.25943
1.492	93.148	0.21677	85.158	0.2219	80.547	0.25972
1.5473	93.026	0.21624	85.045	0.2214	80.426	0.2594
1.6026	92.812	0.21596	84.846	0.22112	80.221	0.25919
1.6578	92.813	0.21415	84.847	0.21931	80.218	0.25733
1.7131	92.898	0.21446	84.926	0.21962	80.3	0.25763
1.7683	92.956	0.21393	84.979	0.21909	80.356	0.25714
1.8236	92.946	0.21572	84.971	0.22089	80.353	0.25902
1.8789	93.025	0.21551	85.044	0.22067	80.423	0.25875
1.9341	93.039	0.21602	85.057	0.22119	80.44	0.25929
1.9894	92.978	0.21666	85.002	0.22185	80.392	0.26012
2.0447	93.014	0.21703	85.034	0.22222	80.422	0.26052
2.0999	93.054	0.21701	85.072	0.2222	80.46	0.26045
2.1552	92.972	0.21687	84.996	0.22207	80.386	0.26041
2.2104	92.884	0.21646	84.914	0.22167	80.301	0.26007
2.2657	92.632	0.21568	84.681	0.22092	80.059	0.25953
2.321	92.531	0.21703	84.587	0.22229	79.961	0.26108
2.3762	92.477	0.21833	84.538	0.2236	79.917	0.26244
2.4315	92.461	0.21814	84.523	0.2234	79.901	0.26218
2.4867	92.503	0.21621	84.561	0.22145	79.935	0.26017
2.542	92.464	0.21683	84.526	0.2221	79.905	0.2609
2.5973	92.414	0.21864	84.481	0.22391	79.869	0.26276
2.6525	92.383	0.21761	84.453	0.22288	79.842	0.26171
2.7078	92.341	0.21748	84.415	0.22275	79.806	0.2616
2.763	92.415	0.2182	84.483	0.22346	79.878	0.26227
2.8183	92.488	0.21904	84.551	0.22431	79.947	0.26313
2.8736	92.52	0.21884	84.58	0.2241	79.976	0.26293
2.9288	92.441	0.21885	84.508	0.22412	79.909	0.26297
2.9841	92.455	0.21907	84.521	0.22434	79.925	0.26319
3.0393	92.506	0.21856	84.568	0.22383	79.969	0.2627
3.0946	92.546	0.21869	84.605	0.22397	80.004	0.26287
3.1499	92.574	0.21846	84.63	0.22374	80.031	0.26265
3.2051	92.434	0.2191	84.502	0.22439	79.9	0.26339
3.2604	92.408	0.21845	84.477	0.22375	79.869	0.26285
3.3156	92.409	0.21828	84.477	0.22359	79.868	0.26274
3.3709	92.467	0.21844	84.53	0.22375	79.918	0.26291
3.4262	92.507	0.2186	84.567	0.22391	79.958	0.26309
3.4814	92.482	0.21852	84.545	0.22384	79.939	0.26306
3.5367	92.393	0.21797	84.463	0.2233	79.858	0.26256
3.592	92.425	0.2174	84.492	0.22273	79.887	0.26198
3.6472	92.407	0.21834	84.476	0.22367	79.875	0.26298
3.7025	92.392	0.21831	84.462	0.22364	79.861	0.2629
3.7577	92.466	0.21766	84.53	0.22298	79.924	0.26218
3.813	92.382	0.21674	84.453	0.22206	79.851	0.26127
3.8683	92.557	0.21623	84.615	0.22153	80.014	0.26062
3.9235	92.908	0.21507	84.938	0.22033	80.337	0.25914
3.9788	92.919	0.21521	84.95	0.22047	80.356	0.25924
4.034	92.943	0.21557	84.972	0.22083	80.38	0.2596
4.0893	93.028	0.21583	85.051	0.22108	80.46	0.25974
4.1446	93.147	0.215	85.16	0.22022	80.569	0.25874
4.1998	93.14	0.21452	85.154	0.21974	80.564	0.25822
4.2551	93.157	0.21483	85.169	0.22005	80.577	0.25851
4.3103	93.29	0.21505	85.292	0.22026	80.701	0.25867
4.3656	93.327	0.21416	85.325	0.21937	80.73	0.25773
4.4209	93.322	0.21449	85.321	0.2197	80.73	0.25811
4.4761	93.39	0.21489	85.385	0.2201	80.798	0.25846
4.5314	93.45	0.21534	85.441	0.22055	80.859	0.25888
4.5866	93.692	0.21456	85.663	0.21974	81.079	0.2579
4.6419	93.772	0.21501	85.738	0.22018	81.163	0.25825
4.6972	94.003	0.21439	85.951	0.21953	81.373	0.25741
4.7524	94.054	0.21328	85.998	0.21841	81.418	0.25617
4.8077	94.206	0.21203	86.137	0.21714	81.552	0.25477
4.863	94.23	0.21271	86.159	0.21783	81.574	0.25546
4.9182	94.215	0.21317	86.146	0.21828	81.566	0.25593
4.9735	94.311	0.21302	86.234	0.21812	81.654	0.25568
5.0287	94.486	0.21238	86.394	0.21747	81.802	0.25486
5.084	94.451	0.21259	86.362	0.21768	81.771	0.25512
5.1393	94.282	0.21502	86.208	0.22011	81.625	0.25765
5.1945	94.209	0.216	86.14	0.22111	81.558	0.25872
5.2498	94.031	0.21694	85.976	0.22208	81.394	0.25991
5.305	93.917	0.21869	85.871	0.22384	81.285	0.26181
5.3603	93.656	0.22019	85.63	0.22537	81.05	0.26353
5.4156	93.804	0.22062	85.766	0.2258	81.179	0.26396
5.4708	93.406	0.2216	85.401	0.22681	80.825	0.26518
5.5261	93.472	0.22136	85.463	0.22655	80.897	0.26481
5.5813	93.56	0.22173	85.543	0.22692	80.971	0.26518
5.6366	93.629	0.22161	85.607	0.22681	81.032	0.26507
5.6919	93.679	0.22166	85.652	0.22685	81.076	0.26507
5.7471	93.635	0.2219	85.612	0.22709	81.039	0.26533
5.8024	93.724	0.22168	85.694	0.22687	81.118	0.26507
5.8576	93.374	0.22325	85.374	0.22846	80.813	0.26684
5.9129	93.578	0.22255	85.56	0.22774	80.989	0.266
5.9682	93.4	0.22323	85.397	0.22843	80.835	0.26677
6.0234	93.541	0.22307	85.528	0.22827	80.965	0.26654
6.0787	93.459	0.22334	85.452	0.22855	80.894	0.26689
6.134	93.358	0.2236	85.359	0.22882	80.802	0.26721
6.1892	93.259	0.22351	85.268	0.22873	80.711	0.26721
6.2445	93.373	0.22354	85.373	0.22876	80.813	0.26721
6.2997	93.361	0.22386	85.362	0.22909	80.804	0.26756
6.355	93.479	0.22383	85.471	0.22905	80.911	0.26747
6.4103	93.223	0.22418	85.235	0.22941	80.683	0.26795
6.4655	93.369	0.22371	85.37	0.22893	80.812	0.26738
6.5208	93.283	0.22348	85.291	0.22871	80.737	0.26722
6.576	93.354	0.22331	85.357	0.22854	80.803	0.26703
6.6313	93.382	0.22307	85.382	0.22829	80.83	0.26675
6.6866	93.383	0.22291	85.383	0.22813	80.829	0.26656
6.7418	93.346	0.22278	85.349	0.22801	80.8	0.26646
6.7971	93.224	0.22427	85.237	0.2295	80.694	0.26804
6.8523	93.278	0.22416	85.287	0.22939	80.74	0.2679
6.9076	93.346	0.22432	85.35	0.22954	80.8	0.26802
6.9629	93.207	0.22512	85.222	0.23036	80.676	0.26891
7.0181	93.231	0.22551	85.244	0.23075	80.701	0.26929
7.0734	93.261	0.22493	85.272	0.23016	80.726	0.26867
7.1286	93.331	0.22542	85.335	0.23065	80.789	0.26918
7.1839	93.256	0.22528	85.267	0.23052	80.724	0.2691
7.2392	93.302	0.22558	85.31	0.23082	80.769	0.2694
7.2944	93.23	0.2254	85.244	0.23064	80.709	0.26924
7.3497	93.226	0.22575	85.241	0.23099	80.707	0.26962
7.405	93.303	0.22575	85.311	0.23098	80.774	0.26952
7.4602	93.197	0.22556	85.214	0.23081	80.677	0.26941
7.5155	93.208	0.22711	85.225	0.23235	80.692	0.27097
7.5707	93.304	0.22661	85.312	0.23184	80.772	0.27035
7.626	93.362	0.22644	85.364	0.23167	80.819	0.27013
7.6813	93.297	0.22617	85.305	0.2314	80.758	0.2699
7.7365	93.261	0.226	85.272	0.23123	80.729	0.26973
7.7918	93.351	0.22576	85.355	0.23099	80.812	0.26943
7.847	93.255	0.22672	85.268	0.23195	80.73	0.27045
7.9023	93.323	0.22627	85.33	0.23149	80.793	0.26992
7.9576	93.367	0.22549	85.37	0.2307	80.831	0.26905
8.0128	93.424	0.2251	85.423	0.2303	80.88	0.26859
8.0681	93.457	0.22502	85.453	0.23022	80.911	0.26851
8.1233	93.457	0.22534	85.453	0.23054	80.913	0.26882
8.1786	93.585	0.22533	85.571	0.23053	81.03	0.26874
8.2339	93.807	0.22474	85.775	0.22991	81.226	0.26796
8.2891	93.8	0.22435	85.768	0.22953	81.22	0.26759
8.3444	93.883	0.22491	85.845	0.23008	81.296	0.26816
8.3996	93.738	0.2255	85.712	0.23068	81.171	0.26881
8.4549	93.821	0.22528	85.788	0.23045	81.243	0.26851
8.5102	93.715	0.22513	85.691	0.2303	81.148	0.26837
8.5654	93.928	0.22426	85.885	0.22942	81.332	0.26738
8.6207	93.906	0.22454	85.866	0.2297	81.317	0.26768
8.676	93.971	0.22429	85.925	0.22944	81.375	0.26739
8.7312	93.93	0.22386	85.887	0.22901	81.337	0.26697
8.7865	93.937	0.22338	85.893	0.22854	81.339	0.2665
8.8417	93.874	0.22384	85.836	0.22901	81.283	0.26702
8.897	93.759	0.22464	85.73	0.22981	81.181	0.26789
8.9523	93.866	0.22393	85.828	0.2291	81.272	0.2671
9.0075	93.766	0.22306	85.736	0.22823	81.182	0.26628
9.0628	93.786	0.22391	85.755	0.22908	81.205	0.26718
9.118	93.811	0.22441	85.778	0.22958	81.228	0.26767
9.1733	93.673	0.22387	85.651	0.22905	81.102	0.26718
9.2286	93.592	0.22364	85.576	0.22883	81.028	0.26704
9.2838	93.481	0.22483	85.475	0.23003	80.933	0.26833
9.3391	93.595	0.22427	85.579	0.22946	81.029	0.26766
9.3943	93.483	0.22438	85.477	0.22958	80.934	0.26783
9.4496	93.402	0.22436	85.402	0.22957	80.86	0.26786
9.5049	93.428	0.22422	85.425	0.22943	80.88	0.26774
9.5601	93.356	0.22507	85.36	0.23029	80.819	0.2687
9.6154	93.242	0.22531	85.255	0.23054	80.719	0.26899
9.6706	93.493	0.22393	85.485	0.22913	80.941	0.26744
9.7259	93.378	0.22501	85.381	0.23022	80.845	0.26857
9.7812	93.566	0.22551	85.555	0.2307	81.023	0.26892
9.8364	93.89	0.22393	85.853	0.22909	81.312	0.26708
9.8917	93.859	0.22336	85.825	0.22851	81.288	0.26645
9.9469	94.085	0.22334	86.033	0.22848	81.498	0.2663
10.002	94.32	0.22265	86.248	0.22777	81.706	0.26542
10.057	94.302	0.22225	86.233	0.22737	81.695	0.265
10.113	94.381	0.22186	86.305	0.22697	81.768	0.26456
10.168	94.48	0.22158	86.396	0.22668	81.854	0.26419
10.223	94.28	0.22169	86.212	0.22681	81.674	0.26444
10.279	94.286	0.22204	86.218	0.22716	81.679	0.26483
10.334	94.156	0.22325	86.098	0.22838	81.564	0.26613
10.389	94.152	0.22326	86.095	0.22839	81.562	0.26614
10.444	94.278	0.22328	86.211	0.22841	81.676	0.26613
10.5	94.179	0.22376	86.12	0.22889	81.59	0.26666
10.555	94.303	0.22327	86.234	0.22839	81.702	0.26607
10.61	94.275	0.22341	86.208	0.22853	81.679	0.26625
10.665	94.282	0.22413	86.215	0.22926	81.688	0.26698
10.721	94.334	0.22388	86.264	0.22899	81.738	0.26662
10.776	94.283	0.22313	86.216	0.22825	81.682	0.26594
10.831	93.982	0.22413	85.939	0.22927	81.409	0.26712
10.886	94.08	0.22373	86.029	0.22887	81.495	0.26672
10.942	94.088	0.22462	86.036	0.22977	81.501	0.26765
10.997	94.036	0.2248	85.988	0.22995	81.453	0.26781
11.052	94.118	0.22476	86.063	0.2299	81.528	0.2677
11.107	94.177	0.22532	86.119	0.23046	81.59	0.26824
11.163	94.231	0.22516	86.168	0.23029	81.643	0.26804
11.218	94.228	0.22512	86.166	0.23025	81.637	0.268
11.273	94.27	0.22486	86.205	0.22998	81.678	0.26765
11.328	94.549	0.22399	86.46	0.22909	81.927	0.26662
11.384	94.347	0.22419	86.274	0.2293	81.743	0.26695
11.439	94.366	0.22483	86.291	0.22994	81.756	0.26757
11.494	94.261	0.22459	86.195	0.22971	81.663	0.26736
11.55	94.507	0.22408	86.422	0.22918	81.884	0.26673
11.605	94.175	0.22459	86.116	0.22972	81.589	0.26742
11.66	94.436	0.22409	86.356	0.2292	81.82	0.26675
11.715	94.332	0.22355	86.261	0.22865	81.729	0.26623
11.771	94.527	0.22328	86.44	0.22838	81.904	0.26589
11.826	94.23	0.22429	86.168	0.22942	81.643	0.2671
11.881	94.427	0.22469	86.348	0.2298	81.813	0.26743
11.936	94.157	0.2248	86.1	0.22993	81.574	0.26767
11.992	94.46	0.22457	86.378	0.22968	81.846	0.26724
12.047	94.343	0.22453	86.271	0.22963	81.741	0.26721
12.102	94.446	0.22342	86.365	0.22852	81.831	0.26602
12.157	94.411	0.22303	86.334	0.22813	81.803	0.26566
12.213	94.595	0.22275	86.503	0.22784	81.973	0.26526
12.268	94.709	0.22196	86.608	0.22704	82.073	0.2644
12.323	94.757	0.22194	86.653	0.22701	82.123	0.26428
12.378	94.826	0.22032	86.716	0.22539	82.188	0.26264
