Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	
0.055261	57.135	0.32468	56.799	0.3247
0.11052	57.145	0.32448	56.81	0.3245
0.16578	57.194	0.32377	56.858	0.32378
0.22104	57.302	0.32317	56.966	0.32318
0.2763	57.335	0.32294	56.999	0.32295
0.33156	57.402	0.32283	57.065	0.32285
0.38683	57.44	0.3229	57.104	0.32292
0.44209	57.488	0.32218	57.15	0.3222
0.49735	57.539	0.32206	57.202	0.32208
0.55261	57.623	0.3214	57.285	0.32142
0.60787	57.705	0.32114	57.367	0.32115
0.66313	57.72	0.32101	57.381	0.32103
0.71839	57.767	0.32053	57.428	0.32055
0.77365	57.826	0.32006	57.487	0.32008
0.82891	57.893	0.31991	57.554	0.31993
0.88417	57.961	0.32003	57.622	0.32004
0.93943	57.986	0.31962	57.646	0.31964
0.99469	58.051	0.31965	57.711	0.31967
1.05	58.071	0.32006	57.73	0.32008
1.1052	58.094	0.31981	57.753	0.31982
1.1605	58.153	0.31909	57.812	0.3191
1.2157	58.194	0.31915	57.853	0.31916
1.271	58.23	0.31884	57.888	0.31885
1.3263	58.292	0.31825	57.951	0.31827
1.3815	58.37	0.31795	58.028	0.31796
1.4368	58.428	0.31734	58.085	0.31736
1.492	58.451	0.31704	58.108	0.31705
1.5473	58.505	0.31695	58.162	0.31697
1.6026	58.55	0.31667	58.207	0.31669
1.6578	58.604	0.31628	58.26	0.3163
1.7131	58.666	0.31612	58.322	0.31614
1.7683	58.733	0.31585	58.388	0.31586
1.8236	58.818	0.31522	58.473	0.31524
1.8789	58.866	0.31511	58.521	0.31512
1.9341	58.917	0.31469	58.571	0.31471
1.9894	58.926	0.31478	58.581	0.3148
2.0447	59.016	0.31433	58.67	0.31434
2.0999	59.054	0.31364	58.708	0.31365
2.1552	59.104	0.31349	58.757	0.31351
2.2104	59.148	0.31352	58.801	0.31354
2.2657	59.251	0.31301	58.904	0.31303
2.321	59.304	0.31284	58.956	0.31286
2.3762	59.325	0.31249	58.977	0.3125
2.4315	59.366	0.31213	59.017	0.31215
2.4867	59.463	0.31168	59.114	0.31169
2.542	59.494	0.31192	59.145	0.31194
2.5973	59.543	0.31172	59.194	0.31173
2.6525	59.585	0.31119	59.236	0.3112
2.7078	59.649	0.31132	59.299	0.31134
2.763	59.7	0.31054	59.35	0.31056
2.8183	59.715	0.31053	59.365	0.31055
2.8736	59.775	0.31055	59.424	0.31056
2.9288	59.851	0.31023	59.5	0.31025
2.9841	59.867	0.30994	59.516	0.30995
3.0393	59.924	0.30961	59.573	0.30963
