Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	
0.056935	44.736	0.33583	41.583	0.32933
0.11387	48.802	0.29816	45.621	0.29447
0.1708	48.795	0.29795	45.615	0.29426
0.22774	48.792	0.29815	45.612	0.29446
0.28467	48.772	0.29762	45.593	0.29393
0.34161	48.799	0.2972	45.619	0.29352
0.39854	48.784	0.29718	45.603	0.2935
0.45548	48.793	0.29718	45.612	0.2935
0.51241	48.824	0.29702	45.64	0.29334
0.56935	48.839	0.29732	45.655	0.29364
0.62628	48.868	0.29706	45.682	0.29339
0.68322	48.86	0.29713	45.673	0.29346
0.74015	48.945	0.29636	45.752	0.29269
0.79708	48.929	0.29687	45.738	0.2932
0.85402	48.984	0.29676	45.788	0.29309
0.91095	48.984	0.29721	45.788	0.29355
0.96789	48.997	0.29711	45.799	0.29346
1.0248	49.02	0.29687	45.821	0.29321
1.0818	49.018	0.29776	45.819	0.29411
1.1387	49.075	0.29708	45.872	0.29342
1.1956	49.094	0.29762	45.89	0.29397
1.2526	49.055	0.29747	45.853	0.29382
1.3095	49.101	0.29738	45.896	0.29374
1.3664	49.057	0.29793	45.854	0.29428
1.4234	49.102	0.29745	45.896	0.2938
1.4803	49.053	0.29802	45.85	0.29437
1.5372	49.037	0.29775	45.835	0.2941
1.5942	49.07	0.29743	45.866	0.29379
1.6511	49.054	0.29756	45.851	0.29392
1.708	49.044	0.29791	45.841	0.29427
1.765	49.102	0.29791	45.895	0.29427
1.8219	49.093	0.29826	45.886	0.29461
1.8788	49.085	0.29846	45.878	0.29482
1.9358	49.089	0.29848	45.882	0.29483
1.9927	49.113	0.29842	45.904	0.29478
2.0496	49.095	0.29797	45.887	0.29434
2.1066	49.092	0.29756	45.884	0.29393
2.1635	49.1	0.29741	45.892	0.29378
2.2205	49.081	0.29753	45.874	0.29389
2.2774	49.086	0.29812	45.878	0.29448
2.3343	49.1	0.29831	45.891	0.29467
2.3913	49.134	0.29837	45.922	0.29473
2.4482	49.115	0.29872	45.904	0.29508
2.5051	49.114	0.29872	45.903	0.29508
2.5621	49.156	0.29869	45.942	0.29506
2.619	49.229	0.29865	46.01	0.29502
2.6759	49.212	0.29884	45.994	0.29521
2.7329	49.241	0.29896	46.02	0.29533
2.7898	49.286	0.29922	46.063	0.29559
2.8467	49.285	0.29927	46.061	0.29564
2.9037	49.337	0.29937	46.11	0.29575
2.9606	49.347	0.29952	46.118	0.29589
3.0175	49.389	0.29933	46.158	0.29571
3.0745	49.385	0.29957	46.153	0.29595
3.1314	49.422	0.29946	46.188	0.29584
3.1883	49.463	0.29943	46.226	0.29581
3.2453	49.495	0.29933	46.256	0.29571
3.3022	49.524	0.2992	46.283	0.29559
3.3591	49.519	0.29968	46.277	0.29607
3.4161	49.56	0.29932	46.316	0.29571
3.473	49.559	0.29952	46.315	0.29591
3.5299	49.593	0.29955	46.346	0.29594
3.5869	49.646	0.29933	46.395	0.29572
3.6438	49.671	0.29955	46.419	0.29595
3.7008	49.684	0.2996	46.431	0.296
3.7577	49.672	0.29964	46.419	0.29604
3.8146	49.712	0.29925	46.456	0.29565
3.8716	49.703	0.29972	46.448	0.29612
3.9285	49.748	0.29928	46.489	0.29569
3.9854	49.76	0.29934	46.5	0.29575
4.0424	49.807	0.29904	46.544	0.29545
4.0993	49.769	0.29965	46.508	0.29606
4.1562	49.831	0.29965	46.566	0.29606
4.2132	49.878	0.29963	46.609	0.29605
4.2701	49.882	0.29935	46.614	0.29576
4.327	49.894	0.29982	46.625	0.29623
4.384	49.924	0.29959	46.652	0.29601
4.4409	49.959	0.29945	46.685	0.29587
4.4978	49.954	0.29906	46.68	0.29548
4.5548	49.989	0.29921	46.712	0.29563
4.6117	49.985	0.2996	46.708	0.29603
4.6686	50.03	0.29968	46.75	0.29611
4.7256	50.081	0.29888	46.798	0.29532
4.7825	50.08	0.29918	46.796	0.29561
4.8394	50.102	0.29958	46.817	0.29601
4.8964	50.191	0.3	46.899	0.29644
4.9533	50.214	0.30078	46.92	0.29722
5.0102	50.263	0.30067	46.967	0.29711
5.0672	50.26	0.30027	46.963	0.29671
5.1241	50.3	0.30046	47	0.29691
5.1811	50.315	0.30047	47.015	0.29692
5.238	50.348	0.30048	47.045	0.29694
5.2949	50.403	0.2999	47.096	0.29636
5.3519	50.423	0.30063	47.115	0.29709
5.4088	50.419	0.30043	47.11	0.29689
5.4657	50.485	0.3005	47.172	0.29696
5.5227	50.554	0.30054	47.237	0.29701
5.5796	50.535	0.30144	47.218	0.2979
5.6365	50.621	0.3003	47.299	0.29677
5.6935	50.587	0.30119	47.266	0.29766
5.7504	50.668	0.29991	47.342	0.29639
5.8073	50.735	0.30019	47.404	0.29667
5.8643	50.757	0.30007	47.425	0.29655
5.9212	50.785	0.29969	47.45	0.29618
5.9781	50.768	0.30001	47.435	0.2965
6.0351	50.816	0.29996	47.479	0.29646
6.092	50.847	0.29955	47.508	0.29605
6.1489	50.888	0.29962	47.547	0.29612
6.2059	50.895	0.29976	47.553	0.29626
6.2628	50.969	0.2995	47.622	0.29601
6.3197	50.98	0.29939	47.631	0.2959
6.3767	51.03	0.29919	47.678	0.2957
6.4336	51.021	0.29971	47.669	0.29623
6.4905	51.07	0.2991	47.714	0.29562
6.5475	51.099	0.29916	47.741	0.29568
6.6044	51.14	0.29898	47.78	0.29551
6.6614	51.172	0.29881	47.809	0.29534
6.7183	51.164	0.29932	47.801	0.29585
6.7752	51.227	0.29867	47.86	0.29521
6.8322	51.21	0.29916	47.844	0.2957
6.8891	51.224	0.29877	47.857	0.29531
6.946	51.227	0.29859	47.86	0.29513
7.003	51.16	0.29928	47.797	0.29581
7.0599	51.295	0.29814	47.922	0.29469
7.1168	51.309	0.29823	47.936	0.29478
7.1738	51.342	0.29806	47.967	0.29461
7.2307	51.388	0.29737	48.009	0.29392
7.2876	51.415	0.2972	48.035	0.29376
7.3446	51.443	0.29751	48.061	0.29408
7.4015	51.444	0.29782	48.062	0.29438
7.4584	51.492	0.29758	48.105	0.29415
7.5154	51.535	0.2968	48.146	0.29338
7.5723	51.55	0.29686	48.159	0.29344
7.6292	51.617	0.29653	48.222	0.29311
7.6862	51.635	0.29658	48.239	0.29316
7.7431	51.704	0.29591	48.302	0.2925
7.8	51.732	0.29593	48.328	0.29252
7.857	51.796	0.29551	48.389	0.29211
7.9139	51.801	0.29586	48.392	0.29246
7.9708	51.87	0.29581	48.457	0.29241
8.0278	51.932	0.29582	48.514	0.29243
8.0847	51.933	0.29651	48.515	0.29311
8.1417	51.992	0.29531	48.571	0.29192
8.1986	52.052	0.29506	48.626	0.29168
8.2555	52.052	0.29568	48.626	0.2923
8.3125	52.106	0.29554	48.676	0.29216
8.3694	52.16	0.29521	48.727	0.29184
8.4263	52.19	0.29505	48.754	0.29168
8.4833	52.176	0.295	48.741	0.29162
8.5402	52.242	0.2944	48.802	0.29104
8.5971	52.286	0.29444	48.843	0.29108
8.6541	52.286	0.29433	48.844	0.29097
8.711	52.283	0.29407	48.84	0.29071
8.7679	52.333	0.29388	48.887	0.29052
8.8249	52.325	0.29444	48.879	0.29108
8.8818	52.36	0.29365	48.912	0.2903
8.9387	52.353	0.2938	48.905	0.29044
8.9957	52.391	0.2934	48.941	0.29005
9.0526	52.362	0.29374	48.914	0.29039
9.1095	52.378	0.29353	48.928	0.29018
9.1665	52.402	0.29308	48.951	0.28974
9.2234	52.472	0.29327	49.016	0.28993
9.2803	52.5	0.29337	49.042	0.29003
9.3373	52.461	0.29321	49.006	0.28987
9.3942	52.495	0.29292	49.038	0.28958
9.4512	52.521	0.29303	49.062	0.2897
9.5081	52.541	0.29264	49.08	0.28931
9.565	52.569	0.29235	49.106	0.28902
9.622	52.594	0.29215	49.129	0.28882
9.6789	52.59	0.29264	49.126	0.28932
9.7358	52.596	0.29255	49.13	0.28923
9.7928	52.635	0.2924	49.167	0.28908
9.8497	52.655	0.29247	49.185	0.28916
9.9066	52.695	0.29222	49.223	0.28891
9.9636	52.734	0.29249	49.258	0.28918
10.02	52.768	0.29186	49.291	0.28855
10.077	52.805	0.29209	49.325	0.28879
10.134	52.826	0.29217	49.344	0.28887
10.191	52.871	0.29177	49.386	0.28848
10.248	52.902	0.29171	49.415	0.28841
10.305	52.878	0.29184	49.393	0.28854
10.362	52.918	0.2918	49.43	0.2885
10.419	52.989	0.29133	49.497	0.28804
10.476	52.983	0.2917	49.491	0.2884
10.533	53.004	0.29183	49.51	0.28854
10.59	53.02	0.29167	49.525	0.28838
10.647	53.053	0.29136	49.556	0.28807
10.704	53.068	0.29173	49.57	0.28844
10.761	53.078	0.29136	49.579	0.28807
10.818	53.126	0.29129	49.624	0.288
10.875	53.11	0.29152	49.608	0.28823
10.931	53.142	0.2912	49.638	0.28792
10.988	53.179	0.29105	49.672	0.28778
11.045	53.229	0.29046	49.719	0.28719
11.102	53.221	0.29084	49.712	0.28757
11.159	53.209	0.29161	49.7	0.28833
11.216	53.173	0.29232	49.667	0.28904
11.273	53.181	0.29247	49.674	0.28919
11.33	53.198	0.29275	49.69	0.28947
11.387	53.234	0.29283	49.723	0.28955
11.444	53.218	0.29324	49.708	0.28996
11.501	53.263	0.29338	49.75	0.29011
11.558	53.241	0.29358	49.731	0.2903
11.615	53.183	0.2939	49.676	0.29062
11.672	53.256	0.29327	49.744	0.29
11.729	53.233	0.2939	49.722	0.29062
11.785	53.257	0.2943	49.745	0.29102
11.842	53.343	0.2939	49.825	0.29063
11.899	53.344	0.29461	49.826	0.29134
11.956	53.306	0.29503	49.79	0.29176
12.013	53.314	0.2952	49.798	0.29193
12.07	53.341	0.29467	49.823	0.2914
12.127	53.35	0.29525	49.831	0.29198
12.184	53.379	0.29573	49.858	0.29246
12.241	53.414	0.29557	49.89	0.2923
12.298	53.4	0.29588	49.878	0.29261
12.355	53.416	0.29616	49.893	0.29289
12.412	53.45	0.29652	49.924	0.29325
12.469	53.509	0.29629	49.979	0.29303
12.526	53.469	0.29646	49.942	0.29319
12.583	53.336	0.29718	49.818	0.29391
12.639	53.446	0.2969	49.92	0.29364
12.696	53.473	0.29654	49.945	0.29327
12.753	53.483	0.29656	49.955	0.2933
12.81	53.5	0.29632	49.97	0.29305
12.867	53.464	0.29681	49.937	0.29354
12.924	53.489	0.29684	49.959	0.29357
12.981	53.518	0.29674	49.987	0.29347
13.038	53.517	0.29697	49.986	0.29371
13.095	53.508	0.29653	49.978	0.29327
13.152	53.526	0.29677	49.994	0.29351
13.209	53.518	0.29646	49.987	0.2932
13.266	53.536	0.29658	50.003	0.29332
13.323	53.539	0.2971	50.007	0.29384
13.38	53.546	0.29687	50.013	0.29361
13.437	53.594	0.29648	50.058	0.29322
13.494	53.555	0.2968	50.021	0.29354
13.55	53.595	0.29674	50.059	0.29348
13.607	53.553	0.29714	50.02	0.29388
13.664	53.517	0.29773	49.986	0.29446
13.721	53.542	0.29762	50.009	0.29435
13.778	53.602	0.29673	50.065	0.29347
