Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.055261	56.364	0.25273	0.055261	48.786	0.39462
0.11052	56.382	0.25293	0.11052	51.169	0.37536
0.16578	56.407	0.25269	0.16578	51.206	0.37511
0.22104	56.444	0.25277	0.22104	51.285	0.37438
0.2763	56.466	0.25271	0.2763	51.268	0.37465
0.33156	56.467	0.25287	0.33156	51.271	0.37472
0.38683	56.515	0.25235	0.38683	51.392	0.37442
0.44209	56.52	0.25278	0.44209	51.412	0.37439
0.49735	56.516	0.25314	0.49735	51.412	0.37443
0.55261	56.551	0.25269	0.55261	51.457	0.37426
0.60787	56.578	0.25296	0.60787	51.495	0.37339
0.66313	56.615	0.25315	0.66313	51.561	0.37286
0.71839	56.635	0.25339	0.71839	51.587	0.37249
0.77365	56.641	0.25353	0.77365	51.645	0.37236
0.82891	56.68	0.25361	0.82891	51.636	0.37162
0.88417	56.689	0.25371	0.88417	51.687	0.37138
0.93943	56.691	0.25389	0.93943	51.722	0.37148
0.99469	56.73	0.25395	0.99469	51.758	0.37068
1.05	56.743	0.25419	1.05	51.799	0.37011
1.1052	56.743	0.25434	1.1052	51.856	0.36983
1.1605	56.796	0.25442	1.1605	51.928	0.36906
1.2157	56.798	0.25475	1.2157	51.997	0.36819
1.271	56.811	0.25507	1.271	52.072	0.36777
1.3263	56.835	0.25524	1.3263	52.114	0.36728
1.3815	56.867	0.2552	1.3815	52.118	0.36746
1.4368	56.879	0.2551	1.4368	52.153	0.36705
1.492	56.859	0.25533	1.492	52.152	0.367
1.5473	56.898	0.25538	1.5473	52.217	0.36611
1.6026	56.948	0.25501	1.6026	52.31	0.36689
1.6578	56.968	0.25536	1.6578	52.319	0.36658
1.7131	56.98	0.25602	1.7131	52.329	0.36631
1.7683	57.026	0.25602	1.7683	52.35	0.36581
1.8236	57.071	0.25592	1.8236	52.435	0.3645
1.8789	57.097	0.25588	1.8789	52.511	0.36436
1.9341	57.113	0.25595	1.9341	52.541	0.36422
1.9894	57.133	0.25591	1.9894	52.571	0.36405
2.0447	57.162	0.25628	2.0447	52.588	0.36408
2.0999	57.194	0.25655	2.0999	52.618	0.36361
2.1552	57.216	0.25624	2.1552	52.65	0.36375
2.2104	57.233	0.25649	2.2104	52.642	0.36393
2.2657	57.283	0.25661	2.2657	52.692	0.36375
2.321	57.313	0.25659	2.321	52.739	0.36376
2.3762	57.33	0.2567	2.3762	52.734	0.36358
2.4315	57.35	0.25676	2.4315	52.756	0.36348
2.4867	57.418	0.25633	2.4867	52.807	0.36325
2.542	57.434	0.25652	2.542	52.826	0.36307
2.5973	57.465	0.25681	2.5973	52.855	0.36271
2.6525	57.503	0.25636	2.6525	52.891	0.36291
2.7078	57.536	0.25614	2.7078	52.962	0.36311
2.763	57.539	0.25652	2.763	52.995	0.36311
2.8183	57.607	0.25628	2.8183	53.081	0.36267
2.8736	57.628	0.25676	2.8736	53.11	0.36233
2.9288	57.653	0.25746	2.9288	53.125	0.36183
2.9841	57.681	0.25755	2.9841	53.099	0.36198
3.0393	57.766	0.25754	3.0393	53.166	0.36095
3.0946	57.76	0.2577	3.0946	53.183	0.36091
3.1499	57.797	0.2574	3.1499	53.256	0.36051
3.2051	57.842	0.25741	3.2051	53.266	0.36035
3.2604	57.863	0.25764	3.2604	53.271	0.36013
3.3156	57.884	0.25748	3.3156	53.294	0.36051
3.3709	57.917	0.2576	3.3709	53.298	0.36003
3.4262	57.994	0.25774	3.4262	53.348	0.35885
3.4814	58.045	0.25755	3.4814	53.427	0.35852
3.5367	58.022	0.2578	3.5367	53.46	0.35828
3.592	58.041	0.2581	3.592	53.468	0.35827
3.6472	58.07	0.25823	3.6472	53.453	0.35825
3.7025	58.111	0.25862	3.7025	53.466	0.35805
3.7577	58.147	0.25869	3.7577	53.498	0.35749
3.813	58.155	0.25925	3.813	53.513	0.35697
3.8683	58.268	0.25895	3.8683	53.608	0.35602
3.9235	58.246	0.25961	3.9235	53.604	0.3563
3.9788	58.27	0.25986	3.9788	53.677	0.35557
4.034	58.283	0.26007	4.034	53.718	0.35538
4.0893	58.259	0.26021	4.0893	53.69	0.35635
4.1446	58.322	0.26061	4.1446	53.744	0.35577
4.1998	58.334	0.26093	4.1998	53.723	0.35633
4.2551	58.381	0.26022	4.2551	53.83	0.35662
4.3103	58.379	0.26044	4.3103	53.853	0.35699
4.3656	58.383	0.26052	4.3656	53.858	0.35708
4.4209	58.438	0.26027	4.4209	53.918	0.35722
4.4761	58.447	0.26034	4.4761	53.99	0.35691
4.5314	58.444	0.26078	4.5314	53.979	0.35537
4.5866	58.419	0.26035	4.5866	53.933	0.35602
4.6419	58.429	0.25983	4.6419	53.929	0.35569
4.6972	58.475	0.25953	4.6972	53.981	0.35438
4.7524	58.497	0.25956	4.7524	53.996	0.35421
4.8077	58.511	0.25929	4.8077	54.022	0.35424
4.863	58.576	0.25888	4.863	54.094	0.35446
4.9182	58.581	0.25894	4.9182	54.147	0.35502
4.9735	58.594	0.25941	4.9735	54.159	0.35604
5.0287	58.663	0.26013	5.0287	54.214	0.35562
5.084	58.68	0.2604	5.084	54.23	0.35449
5.1393	58.704	0.25988	5.1393	54.237	0.35419
5.1945	58.735	0.2596	5.1945	54.275	0.35296
5.2498	58.769	0.25949	5.2498	54.31	0.35299
5.305	58.758	0.25966	5.305	54.29	0.35305
5.3603	58.779	0.26007	5.3603	54.287	0.35244
5.4156	58.836	0.26005	5.4156	54.307	0.35173
5.4708	58.849	0.26055	5.4708	54.293	0.35241
5.5261	58.894	0.26036	5.5261	54.311	0.35241
5.5813	58.943	0.26043	5.5813	54.316	0.35093
