Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.055261	46.303	0.27107	46.294	0.26163	0.055261	28.598	0.59828
0.11052	50.211	0.26036	46.28	0.26167	0.11052	28.577	0.599
0.16578	50.23	0.26009	46.298	0.2614	0.16578	28.605	0.59943
0.22104	50.22	0.25965	46.289	0.26095	0.22104	28.616	0.60034
0.2763	50.208	0.25995	46.278	0.26125	0.2763	28.595	0.60072
0.33156	50.209	0.25979	46.279	0.26109	0.33156	28.607	0.60095
0.38683	50.22	0.26017	46.289	0.26147	0.38683	28.599	0.60084
0.44209	50.208	0.25932	46.278	0.26062	0.44209	28.615	0.60175
0.49735	50.221	0.25933	46.29	0.26062	0.49735	28.613	0.60141
0.55261	50.221	0.25925	46.289	0.26055	0.55261	28.623	0.60183
0.60787	50.214	0.25897	46.284	0.26026	0.60787	28.641	0.60239
0.66313	50.25	0.25879	46.317	0.26009	0.66313	28.654	0.60171
0.71839	50.236	0.25911	46.304	0.2604	0.71839	28.658	0.60169
0.77365	50.244	0.25861	46.311	0.25991	0.77365	28.683	0.60155
0.82891	50.248	0.25852	46.315	0.25981	0.82891	28.708	0.60211
0.88417	50.234	0.25884	46.303	0.26013	0.88417	28.706	0.60205
0.93943	50.25	0.25874	46.318	0.26003	0.93943	28.705	0.60183
0.99469	50.256	0.25911	46.323	0.2604	0.99469	28.706	0.60162
1.05	50.266	0.25886	46.332	0.26015	1.05	28.709	0.6017
1.1052	50.251	0.25927	46.318	0.26056	1.1052	28.692	0.6018
1.1605	50.27	0.25971	46.336	0.261	1.1605	28.705	0.60088
1.2157	50.266	0.25944	46.332	0.26073	1.2157	28.71	0.60098
1.271	50.258	0.25935	46.325	0.26064	1.271	28.702	0.60114
1.3263	50.279	0.25921	46.345	0.2605	1.3263	28.726	0.60051
1.3815	50.281	0.25914	46.346	0.26042	1.3815	28.715	0.60182
1.4368	50.282	0.25973	46.347	0.26102	1.4368	28.711	0.60122
1.492	50.288	0.26	46.353	0.26129	1.492	28.71	0.60135
1.5473	50.293	0.2598	46.357	0.26109	1.5473	28.718	0.60223
1.6026	50.306	0.25965	46.369	0.26093	1.6026	28.73	0.60165
1.6578	50.309	0.25963	46.372	0.26092	1.6578	28.735	0.60189
1.7131	50.328	0.25968	46.39	0.26097	1.7131	28.741	0.60129
1.7683	50.327	0.25988	46.39	0.26117	1.7683	28.75	0.60058
1.8236	50.342	0.25962	46.403	0.2609	1.8236	28.738	0.60122
1.8789	50.341	0.25965	46.402	0.26093	1.8789	28.731	0.6013
1.9341	50.332	0.26015	46.394	0.26144	1.9341	28.748	0.60065
1.9894	50.325	0.26029	46.388	0.26158	1.9894	28.739	0.60066
2.0447	50.326	0.26061	46.388	0.26189	2.0447	28.739	0.6006
2.0999	50.331	0.26065	46.393	0.26194	2.0999	28.742	0.59973
2.1552	50.335	0.26062	46.397	0.2619	2.1552	28.749	0.59978
2.2104	50.332	0.26043	46.394	0.26171	2.2104	28.746	0.60058
2.2657	50.347	0.2607	46.408	0.26198	2.2657	28.766	0.60028
2.321	50.331	0.26082	46.393	0.2621	2.321	28.757	0.60042
2.3762	50.337	0.26084	46.398	0.26212	2.3762	28.764	0.59999
2.4315	50.35	0.2608	46.411	0.26208	2.4315	28.784	0.6002
2.4867	50.354	0.26126	46.414	0.26255	2.4867	28.783	0.59973
2.542	50.399	0.26139	46.456	0.26266	2.542	28.795	0.59941
2.5973	50.394	0.26164	46.452	0.26292	2.5973	28.784	0.59941
2.6525	50.422	0.2611	46.478	0.26238	2.6525	28.803	0.59996
2.7078	50.435	0.26122	46.49	0.2625	2.7078	28.84	0.59945
2.763	50.434	0.26161	46.489	0.26289	2.763	28.842	0.59911
2.8183	50.451	0.2615	46.505	0.26278	2.8183	28.836	0.59914
2.8736	50.484	0.26134	46.536	0.26261	2.8736	28.868	0.5991
2.9288	50.486	0.26134	46.537	0.26261	2.9288	28.859	0.59859
2.9841	50.489	0.26078	46.54	0.26205	2.9841	28.885	0.59884
3.0393	50.491	0.26081	46.542	0.26208	3.0393	28.874	0.60008
3.0946	50.505	0.26029	46.555	0.26156	3.0946	28.898	0.60067
3.1499	50.486	0.26092	46.537	0.26219	3.1499	28.878	0.60126
3.2051	50.509	0.26076	46.558	0.26203	3.2051	28.879	0.60025
3.2604	50.522	0.26067	46.571	0.26194	3.2604	28.901	0.59949
3.3156	50.518	0.26079	46.567	0.26206	3.3156	28.9	0.59952
3.3709	50.506	0.26101	46.556	0.26228	3.3709	28.898	0.5995
3.4262	50.513	0.26108	46.563	0.26235	3.4262	28.896	0.59944
3.4814	50.528	0.26093	46.577	0.2622	3.4814	28.896	0.5998
3.5367	50.525	0.26079	46.573	0.26206	3.5367	28.907	0.60004
3.592	50.499	0.26116	46.55	0.26243	3.592	28.897	0.60116
3.6472	50.519	0.26139	46.568	0.26266	3.6472	28.891	0.60056
3.7025	50.519	0.26154	46.568	0.26281	3.7025	28.896	0.60025
3.7577	50.529	0.26156	46.577	0.26283	3.7577	28.901	0.60017
3.813	50.538	0.26165	46.586	0.26292	3.813	28.923	0.59988
3.8683	50.536	0.26177	46.584	0.26304	3.8683	28.927	0.60005
3.9235	50.544	0.26209	46.592	0.26336	3.9235	28.935	0.59981
3.9788	50.55	0.26197	46.597	0.26325	3.9788	28.959	0.59963
4.034	50.56	0.26214	46.607	0.26341	4.034	28.941	0.59871
4.0893	50.584	0.262	46.628	0.26326	4.0893	28.969	0.59889
