Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	
0.055264	79.382	0.13793	66.902	0.13025
0.11053	81.073	0.12848	66.883	0.13032
0.16579	81.024	0.12855	66.843	0.13039
0.22106	81.004	0.12846	66.826	0.13031
0.27632	81.053	0.12876	66.867	0.1306
0.33158	81.038	0.12895	66.855	0.1308
0.38685	81.041	0.12934	66.857	0.13118
0.44211	81.021	0.12972	66.841	0.13156
0.49737	81.009	0.12978	66.832	0.13163
0.55264	81.038	0.12992	66.856	0.13177
0.6079	81.038	0.13016	66.856	0.13201
0.66317	81.032	0.13052	66.851	0.13237
0.71843	81.049	0.13075	66.865	0.1326
0.77369	81.093	0.13127	66.902	0.13312
0.82896	81.114	0.13137	66.919	0.13321
0.88422	81.058	0.13167	66.873	0.13352
0.93949	81.118	0.13142	66.922	0.13326
0.99475	81.104	0.13174	66.911	0.13358
1.05	81.087	0.13156	66.897	0.13341
1.1053	81.13	0.13198	66.933	0.13383
1.1605	81.104	0.13234	66.912	0.13419
1.2158	81.072	0.13245	66.885	0.1343
1.2711	81.077	0.13279	66.89	0.13464
1.3263	81.105	0.13258	66.913	0.13443
1.3816	81.057	0.13247	66.874	0.13432
1.4369	81.086	0.13273	66.898	0.13458
1.4921	81.084	0.13298	66.897	0.13483
1.5474	80.996	0.13297	66.824	0.13481
1.6027	81.057	0.13355	66.875	0.13539
1.6579	81.118	0.13358	66.925	0.13542
1.7132	81.123	0.13363	66.929	0.13548
1.7684	81.126	0.13403	66.932	0.13588
1.8237	81.158	0.13459	66.959	0.13643
1.879	81.18	0.13449	66.977	0.13633
1.9342	81.183	0.13517	66.98	0.13701
1.9895	81.151	0.13509	66.953	0.13694
2.0448	81.163	0.13533	66.964	0.13717
2.1	81.206	0.13536	67	0.1372
2.1553	81.21	0.13532	67.003	0.13716
2.2106	81.244	0.13488	67.031	0.13672
2.2658	81.227	0.13514	67.017	0.13698
2.3211	81.316	0.13514	67.091	0.13698
2.3763	81.272	0.1352	67.055	0.13704
2.4316	81.321	0.13502	67.095	0.13686
2.4869	81.346	0.13507	67.116	0.13691
2.5421	81.336	0.13541	67.108	0.13725
2.5974	81.38	0.13588	67.144	0.13772
2.6527	81.385	0.13654	67.149	0.13838
2.7079	81.368	0.13665	67.136	0.13849
2.7632	81.423	0.13609	67.181	0.13793
2.8185	81.416	0.13617	67.175	0.13801
2.8737	81.439	0.13661	67.194	0.13845
2.929	81.499	0.13668	67.244	0.13852
2.9842	81.546	0.13688	67.283	0.13871
3.0395	81.574	0.13677	67.307	0.1386
3.0948	81.589	0.13703	67.319	0.13886
3.15	81.594	0.1368	67.324	0.13863
3.2053	81.687	0.13666	67.401	0.13849
3.2606	81.69	0.13652	67.403	0.13835
3.3158	81.762	0.13754	67.463	0.13937
3.3711	81.762	0.13721	67.463	0.13904
3.4264	81.778	0.1371	67.477	0.13893
3.4816	81.737	0.13671	67.443	0.13854
3.5369	81.819	0.13686	67.511	0.13868
3.5922	81.823	0.13681	67.515	0.13864
3.6474	81.87	0.13702	67.554	0.13884
3.7027	81.803	0.13687	67.499	0.13869
3.7579	81.846	0.13704	67.535	0.13886
3.8132	81.895	0.13656	67.575	0.13838
3.8685	81.822	0.13679	67.515	0.13862
3.9237	81.915	0.13681	67.593	0.13863
3.979	81.962	0.13723	67.632	0.13906
4.0343	81.968	0.13754	67.636	0.13937
4.0895	81.975	0.13794	67.643	0.13976
4.1448	81.989	0.13799	67.655	0.13981
4.2001	82.049	0.13836	67.705	0.14019
4.2553	82.028	0.13874	67.688	0.14057
4.3106	82.049	0.13818	67.705	0.14
4.3658	81.997	0.13813	67.663	0.13995
4.4211	82.157	0.13816	67.795	0.13998
4.4764	82.106	0.13857	67.753	0.14039
4.5316	82.192	0.13897	67.824	0.14079
4.5869	82.147	0.13929	67.787	0.14111
4.6422	82.203	0.13941	67.834	0.14123
4.6974	82.172	0.13867	67.808	0.14048
4.7527	82.191	0.13943	67.824	0.14125
4.808	82.234	0.13919	67.861	0.141
4.8632	82.223	0.1393	67.852	0.14112
4.9185	82.379	0.139	67.98	0.14081
4.9737	82.298	0.13892	67.914	0.14074
5.029	82.394	0.13982	67.994	0.14164
5.0843	82.42	0.13964	68.016	0.14146
5.1395	82.423	0.13987	68.019	0.14169
5.1948	82.475	0.13975	68.062	0.14157
5.2501	82.54	0.13928	68.116	0.1411
5.3053	82.528	0.13946	68.106	0.14127
5.3606	82.599	0.13988	68.165	0.1417
5.4159	82.589	0.13986	68.157	0.14167
5.4711	82.574	0.13995	68.145	0.14177
5.5264	82.581	0.14032	68.151	0.14214
5.5817	82.684	0.13967	68.236	0.14149
5.6369	82.641	0.13996	68.201	0.14178
5.6922	82.639	0.14009	68.2	0.1419
5.7474	82.569	0.13967	68.142	0.14149
5.8027	82.53	0.13947	68.109	0.14129
5.858	82.525	0.13866	68.105	0.14048
5.9132	82.492	0.13868	68.078	0.1405
5.9685	82.49	0.13812	68.076	0.13994
6.0238	82.464	0.13855	68.055	0.14036
6.079	82.446	0.13767	68.041	0.13948
6.1343	82.462	0.13746	68.054	0.13927
6.1896	82.404	0.13719	68.006	0.139
6.2448	82.401	0.13726	68.004	0.13907
6.3001	82.452	0.13707	68.046	0.13889
6.3553	82.51	0.13718	68.094	0.13899
6.4106	82.582	0.13756	68.154	0.13937
6.4659	82.872	0.13854	68.394	0.14035
6.5211	83.055	0.1395	68.546	0.14131
6.5764	83.068	0.1397	68.557	0.1415
6.6317	83.158	0.13947	68.632	0.14127
6.6869	83.151	0.13919	68.626	0.14099
6.7422	83.308	0.13952	68.756	0.14131
6.7975	83.389	0.13891	68.823	0.14071
6.8527	83.475	0.13926	68.894	0.14106
6.908	83.423	0.1393	68.851	0.1411
6.9632	83.661	0.13913	69.048	0.14092
7.0185	83.528	0.13887	68.939	0.14066
7.0738	83.744	0.13863	69.117	0.14042
7.129	83.64	0.1388	69.032	0.14059
7.1843	83.828	0.13802	69.187	0.13981
7.2396	83.86	0.1379	69.214	0.13968
7.2948	83.913	0.13793	69.259	0.13971
7.3501	84.024	0.13735	69.351	0.13913
7.4054	84.031	0.1371	69.357	0.13888
7.4606	84.069	0.13729	69.388	0.13907
7.5159	84.07	0.13722	69.389	0.139
7.5712	84.081	0.1369	69.399	0.13867
7.6264	84.218	0.1372	69.512	0.13898
7.6817	84.199	0.13728	69.497	0.13906
7.7369	84.204	0.13701	69.502	0.13878
7.7922	84.353	0.13742	69.625	0.13919
7.8475	84.283	0.13781	69.567	0.13958
7.9027	84.278	0.13735	69.563	0.13912
7.958	84.311	0.13685	69.591	0.13861
8.0133	84.429	0.13671	69.689	0.13848
8.0685	84.485	0.13635	69.735	0.13812
8.1238	84.492	0.13612	69.742	0.13788
8.1791	84.6	0.13614	69.832	0.1379
8.2343	84.546	0.13563	69.787	0.13739
8.2896	84.653	0.13524	69.876	0.13699
8.3448	84.669	0.13621	69.889	0.13797
8.4001	84.661	0.13629	69.883	0.13805
8.4554	84.736	0.13558	69.945	0.13733
8.5106	84.807	0.13525	70.004	0.137
8.5659	84.799	0.13546	69.997	0.13721
8.6212	84.839	0.13491	70.03	0.13666
8.6764	84.792	0.1349	69.992	0.13666
8.7317	84.942	0.13482	70.117	0.13657
8.787	85.018	0.13578	70.18	0.13753
8.8422	84.878	0.13497	70.064	0.13671
8.8975	85.07	0.13483	70.223	0.13658
8.9527	84.969	0.13524	70.14	0.13699
9.008	85.116	0.13487	70.262	0.13661
9.0633	85.12	0.13472	70.265	0.13646
9.1185	85.15	0.13507	70.29	0.13682
9.1738	85.092	0.13532	70.242	0.13706
9.2291	85.237	0.13545	70.362	0.13719
9.2843	85.226	0.13634	70.353	0.13809
9.3396	85.199	0.13653	70.331	0.13828
9.3949	85.287	0.13665	70.404	0.1384
9.4501	85.318	0.13681	70.429	0.13855
9.5054	85.291	0.13645	70.406	0.1382
9.5607	85.194	0.1369	70.327	0.13865
9.6159	85.322	0.13651	70.433	0.13825
9.6712	85.345	0.13621	70.452	0.13795
9.7264	85.37	0.13616	70.472	0.1379
9.7817	85.374	0.1359	70.477	0.13764
9.837	85.44	0.13599	70.531	0.13773
9.8922	85.568	0.13558	70.637	0.13731
9.9475	85.515	0.13586	70.594	0.13759
10.003	85.556	0.13614	70.627	0.13787
10.058	85.634	0.13591	70.692	0.13765
10.113	85.658	0.1361	70.712	0.13783
10.169	85.654	0.13592	70.709	0.13765
10.224	85.671	0.13565	70.723	0.13738
10.279	85.802	0.13533	70.832	0.13706
10.334	85.839	0.13555	70.863	0.13728
10.39	85.977	0.13583	70.978	0.13755
10.445	85.911	0.13618	70.923	0.1379
10.5	85.871	0.13645	70.889	0.13817
10.555	85.89	0.13505	70.905	0.13676
10.611	85.827	0.1353	70.853	0.13701
10.666	85.769	0.13594	70.805	0.13766
10.721	85.916	0.13522	70.927	0.13693
10.776	85.819	0.13521	70.846	0.13692
10.832	85.755	0.13525	70.793	0.13697
10.887	85.73	0.13473	70.773	0.13644
10.942	85.752	0.1349	70.791	0.13662
10.998	85.813	0.13547	70.842	0.13718
11.053	85.78	0.13583	70.815	0.13755
11.108	85.894	0.13549	70.909	0.1372
11.163	85.768	0.13574	70.805	0.13746
11.219	85.987	0.13654	70.987	0.13825
11.274	85.907	0.13624	70.921	0.13795
11.329	85.887	0.13587	70.904	0.13758
11.384	85.937	0.13565	70.945	0.13736
11.44	85.92	0.13632	70.932	0.13803
11.495	85.957	0.13613	70.962	0.13784
11.55	85.936	0.13554	70.945	0.13726
11.605	85.969	0.13551	70.972	0.13722
11.661	86.001	0.13627	70.998	0.13798
11.716	86.04	0.13591	71.031	0.13762
11.771	86.022	0.13692	71.017	0.13863
11.826	86.009	0.1369	71.006	0.13862
11.882	86.103	0.13721	71.084	0.13892
11.937	86.045	0.13762	71.036	0.13934
11.992	86.235	0.13816	71.193	0.13988
12.048	86.153	0.13795	71.125	0.13966
12.103	86.167	0.13746	71.137	0.13917
12.158	86.186	0.1383	71.153	0.14001
12.213	86.129	0.1384	71.106	0.14011
12.269	86.15	0.1373	71.123	0.13901
12.324	86.24	0.13846	71.197	0.14017
12.379	86.204	0.13793	71.168	0.13964
12.434	86.267	0.13863	71.22	0.14034
12.49	86.192	0.13848	71.159	0.14019
12.545	86.331	0.13759	71.273	0.1393
12.6	86.322	0.13776	71.266	0.13947
12.655	86.277	0.13729	71.229	0.139
12.711	86.384	0.13818	71.318	0.13989
12.766	86.385	0.13782	71.319	0.13953
12.821	86.437	0.13706	71.362	0.13876
12.876	86.419	0.13698	71.347	0.13869
12.932	86.464	0.13728	71.384	0.13898
12.987	86.497	0.13686	71.411	0.13856
13.042	86.446	0.13732	71.369	0.13902
13.098	86.497	0.13691	71.412	0.13862
13.153	86.456	0.13663	71.378	0.13834
13.208	86.461	0.13717	71.382	0.13888
13.263	86.538	0.13806	71.446	0.13977
13.319	86.475	0.13849	71.394	0.1402
13.374	86.494	0.13861	71.41	0.14032
13.429	86.512	0.13883	71.425	0.14054
13.484	86.569	0.13859	71.472	0.1403
13.54	86.547	0.13851	71.454	0.14021
13.595	86.546	0.13886	71.453	0.14056
13.65	86.63	0.13957	71.523	0.14127
13.705	86.612	0.13908	71.508	0.14078
13.761	86.683	0.13948	71.567	0.14119
13.816	86.683	0.13944	71.567	0.14114
13.871	86.691	0.13952	71.574	0.14123
13.926	86.719	0.14005	71.597	0.14175
13.982	86.804	0.14032	71.667	0.14203
14.037	86.883	0.14069	71.733	0.14239
14.092	87.053	0.14198	71.873	0.14368
14.148	86.988	0.14175	71.82	0.14345
14.203	86.94	0.14195	71.78	0.14365
14.258	86.936	0.14134	71.776	0.14305
14.313	86.848	0.14205	71.704	0.14376
14.369	86.854	0.14189	71.709	0.1436
14.424	86.883	0.14213	71.733	0.14384
14.479	86.959	0.14111	71.796	0.14282
14.534	87.038	0.14232	71.862	0.14402
14.59	86.976	0.14184	71.811	0.14355
14.645	87.049	0.14233	71.871	0.14404
14.7	87.062	0.14224	71.882	0.14395
14.755	87.096	0.14296	71.91	0.14467
14.811	87.18	0.14374	71.98	0.14545
14.866	86.997	0.14539	71.828	0.14711
14.921	87.02	0.1452	71.847	0.14692
14.977	87.081	0.14578	71.898	0.1475
15.032	87.071	0.14568	71.89	0.14741
15.087	87.117	0.14669	71.928	0.14841
15.142	87.231	0.14685	72.022	0.14858
15.198	87.213	0.14792	72.007	0.14964
15.253	87.097	0.14839	71.912	0.15012
15.308	87.16	0.14873	71.964	0.15046
15.363	87.285	0.14918	72.068	0.15092
15.419	87.241	0.14896	72.031	0.15069
15.474	87.397	0.14938	72.16	0.15111
15.529	87.369	0.14843	72.137	0.15017
15.584	87.399	0.14913	72.162	0.15087
15.64	87.397	0.14936	72.16	0.15111
15.695	87.448	0.1498	72.203	0.15155
15.75	87.445	0.1496	72.201	0.15135
15.805	87.477	0.14953	72.227	0.15128
15.861	87.527	0.15047	72.268	0.15221
15.916	87.553	0.14966	72.291	0.1514
15.971	87.605	0.14948	72.334	0.15122
16.027	87.626	0.14945	72.351	0.1512
16.082	87.703	0.14888	72.415	0.15063
16.137	87.725	0.14894	72.433	0.15068
16.192	87.727	0.14872	72.435	0.15047
16.248	87.71	0.14807	72.421	0.14982
16.303	87.755	0.14875	72.458	0.1505
16.358	87.819	0.14767	72.512	0.14942
16.413	87.748	0.14869	72.453	0.15044
16.469	87.704	0.14833	72.417	0.15009
16.524	87.899	0.1507	72.578	0.15245
16.579	87.723	0.14986	72.432	0.15162
16.634	87.798	0.15124	72.494	0.153
16.69	87.869	0.1513	72.553	0.15306
16.745	87.841	0.15122	72.53	0.15297
16.8	87.75	0.15114	72.455	0.1529
16.855	87.838	0.15117	72.527	0.15292
16.911	87.85	0.15113	72.537	0.15289
16.966	87.846	0.15205	72.535	0.15381
17.021	87.759	0.15113	72.463	0.15289
17.077	87.944	0.15216	72.615	0.15392
17.132	87.816	0.15274	72.51	0.15451
17.187	87.803	0.15354	72.499	0.15531
17.242	87.979	0.15278	72.644	0.15455
17.298	87.883	0.15501	72.566	0.15679
17.353	87.963	0.15541	72.632	0.15719
