Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	Fascicle Length R2_F2	Pennation Angle R2_F2	
0.053591	60.649	0.35325	50.165	0.43152	0.053591	31.946	0.44585	31.292	0.49394
0.10718	59.227	0.36215	54.213	0.39744	0.10718	31.944	0.44509	31.292	0.4931
0.16077	59.267	0.36179	54.254	0.397	0.16077	31.977	0.44379	31.328	0.49167
0.21436	59.306	0.36168	54.289	0.39686	0.21436	31.999	0.44223	31.35	0.48998
0.26795	59.328	0.36163	54.311	0.39678	0.26795	32.033	0.44112	31.384	0.48871
0.32154	59.31	0.36158	54.296	0.39673	0.32154	32.028	0.44066	31.382	0.48816
0.37513	59.335	0.36202	54.324	0.39714	0.37513	32.036	0.43995	31.392	0.48738
0.42872	59.336	0.36156	54.329	0.39664	0.42872	32.037	0.43998	31.395	0.48743
0.48232	59.313	0.36164	54.31	0.3967	0.48232	32.044	0.43949	31.405	0.48686
0.53591	59.329	0.36117	54.325	0.39616	0.53591	32.072	0.43867	31.434	0.48594
0.5895	59.307	0.36122	54.308	0.39622	0.5895	32.057	0.43855	31.421	0.48582
0.64309	59.265	0.36107	54.272	0.39604	0.64309	32.057	0.43844	31.424	0.48562
0.69668	59.253	0.36101	54.263	0.39595	0.69668	32.062	0.43744	31.431	0.48454
0.75027	59.242	0.36043	54.255	0.39538	0.75027	32.084	0.43776	31.456	0.48472
0.80386	59.231	0.36076	54.248	0.39566	0.80386	32.08	0.43686	31.454	0.48377
0.85745	59.23	0.36059	54.25	0.39548	0.85745	32.076	0.43674	31.451	0.48363
0.91104	59.227	0.36039	54.251	0.39523	0.91104	32.078	0.43641	31.456	0.48323
0.96463	59.258	0.36043	54.283	0.39527	0.96463	32.093	0.4357	31.471	0.48243
1.0182	59.256	0.36022	54.283	0.39503	1.0182	32.117	0.43519	31.496	0.48182
1.0718	59.279	0.36033	54.308	0.3951	1.0718	32.14	0.43424	31.521	0.4808
1.1254	59.275	0.36032	54.307	0.39509	1.1254	32.135	0.43416	31.518	0.48071
1.179	59.266	0.36043	54.303	0.39516	1.179	32.102	0.43428	31.489	0.48086
1.2326	59.281	0.36029	54.319	0.39499	1.2326	32.084	0.43426	31.471	0.4809
1.2862	59.3	0.36035	54.339	0.39501	1.2862	32.097	0.43328	31.486	0.47983
1.3398	59.285	0.36006	54.326	0.39473	1.3398	32.103	0.43351	31.493	0.48003
1.3934	59.284	0.35986	54.327	0.39449	1.3934	32.129	0.4329	31.522	0.47928
1.4469	59.253	0.35944	54.301	0.39408	1.4469	32.163	0.43274	31.56	0.47897
1.5005	59.259	0.35953	54.308	0.39415	1.5005	32.187	0.43221	31.585	0.47838
1.5541	59.235	0.35924	54.288	0.39383	1.5541	32.202	0.43234	31.604	0.47844
1.6077	59.23	0.35953	54.286	0.39412	1.6077	32.187	0.43173	31.59	0.47782
1.6613	59.224	0.35921	54.282	0.39376	1.6613	32.21	0.43153	31.616	0.47754
1.7149	59.223	0.35876	54.283	0.39331	1.7149	32.228	0.43141	31.637	0.4773
1.7685	59.156	0.35745	54.221	0.39211	1.7685	32.235	0.4314	31.644	0.4771
1.8221	59.148	0.35543	54.209	0.39024	1.8221	32.273	0.43079	31.68	0.47615
1.8757	59.132	0.35302	54.19	0.388	1.8757	32.271	0.43076	31.677	0.4758
1.9293	59.17	0.3525	54.226	0.38748	1.9293	32.287	0.42941	31.693	0.47425
1.9829	59.16	0.35175	54.217	0.38673	1.9829	32.299	0.42964	31.706	0.47438
2.0364	59.23	0.35217	54.285	0.38705	2.0364	32.305	0.42859	31.713	0.47328
2.09	59.197	0.35212	54.262	0.38698	2.09	32.286	0.42914	31.697	0.47378
2.1436	59.248	0.35289	54.317	0.38768	2.1436	32.292	0.42771	31.703	0.47235
2.1972	59.21	0.35292	54.284	0.38768	2.1972	32.3	0.42798	31.716	0.47264
2.2508	59.197	0.35323	54.276	0.38799	2.2508	32.29	0.42795	31.71	0.47254
2.3044	59.276	0.35366	54.354	0.38834	2.3044	32.327	0.4263	31.747	0.47081
2.358	59.297	0.35336	54.377	0.38801	2.358	32.345	0.42592	31.767	0.47036
2.4116	59.301	0.35344	54.383	0.38807	2.4116	32.361	0.42508	31.785	0.46943
2.4652	59.304	0.35365	54.387	0.38828	2.4652	32.354	0.42388	31.778	0.46825
2.5188	59.296	0.35206	54.377	0.38669	2.5188	32.41	0.42481	31.836	0.46907
2.5723	59.284	0.35132	54.368	0.3859	2.5723	32.414	0.42535	31.844	0.46956
2.6259	59.235	0.35133	54.325	0.38592	2.6259	32.408	0.42584	31.841	0.47
2.6795	59.274	0.35098	54.363	0.3855	2.6795	32.403	0.4251	31.835	0.46923
2.7331	59.266	0.34973	54.357	0.38425	2.7331	32.412	0.42575	31.845	0.4698
2.7867	59.267	0.34974	54.36	0.38431	2.7867	32.423	0.42515	31.857	0.46907
2.8403	59.279	0.35038	54.375	0.38499	2.8403	32.425	0.42423	31.858	0.46804
2.8939	59.29	0.35025	54.386	0.38485	2.8939	32.437	0.42396	31.871	0.46769
2.9475	59.314	0.35066	54.41	0.38522	2.9475	32.46	0.42233	31.895	0.46598
3.0011	59.282	0.35162	54.384	0.38629	3.0011	32.464	0.4212	31.898	0.4647
3.0547	59.35	0.3515	54.449	0.38619	3.0547	32.499	0.42067	31.934	0.46401
3.1083	59.371	0.3516	54.474	0.38638	3.1083	32.499	0.41965	31.936	0.46277
3.1618	59.429	0.35184	54.529	0.38665	3.1618	32.545	0.41809	31.98	0.46101
3.2154	59.425	0.35199	54.53	0.38685	3.2154	32.552	0.41741	31.989	0.46021
3.269	59.413	0.35169	54.519	0.38665	3.269	32.604	0.41715	32.041	0.45978
3.3226	59.409	0.35201	54.516	0.38694	3.3226	32.635	0.41666	32.077	0.45929
3.3762	59.379	0.35123	54.489	0.38617	3.3762	32.655	0.41693	32.1	0.45954
3.4298	59.37	0.35095	54.48	0.38593	3.4298	32.658	0.41677	32.102	0.45932
3.4834	59.356	0.3515	54.468	0.38657	3.4834	32.653	0.41573	32.096	0.45819
3.537	59.369	0.35248	54.485	0.38755	3.537	32.635	0.41448	32.077	0.45688
3.5906	59.357	0.35313	54.477	0.38821	3.5906	32.625	0.41364	32.067	0.45597
3.6442	59.34	0.35295	54.464	0.38808	3.6442	32.632	0.41334	32.075	0.45554
3.6977	59.327	0.35343	54.459	0.38862	3.6977	32.603	0.41273	32.047	0.45481
3.7513	59.329	0.35349	54.467	0.38872	3.7513	32.599	0.41245	32.044	0.45441
3.8049	59.366	0.35303	54.505	0.38826	3.8049	32.629	0.41191	32.075	0.45369
3.8585	59.425	0.35296	54.563	0.38817	3.8585	32.65	0.4112	32.097	0.45291
3.9121	59.456	0.35343	54.595	0.38857	3.9121	32.682	0.41055	32.131	0.4522
3.9657	59.474	0.35361	54.608	0.38851	3.9657	32.724	0.4113	32.179	0.45315
4.0193	59.472	0.3528	54.606	0.38762	4.0193	32.763	0.41291	32.226	0.45482
4.0729	59.494	0.35299	54.627	0.38781	4.0729	32.79	0.41252	32.256	0.45438
4.1265	59.482	0.35341	54.619	0.38818	4.1265	32.779	0.41237	32.248	0.45424
4.1801	59.514	0.35282	54.649	0.38747	4.1801	32.808	0.41283	32.279	0.45475
4.2337	59.498	0.35288	54.636	0.38753	4.2337	32.814	0.41294	32.288	0.45487
4.2872	59.53	0.35352	54.668	0.38818	4.2872	32.81	0.41258	32.283	0.45448
4.3408	59.543	0.35389	54.686	0.38854	4.3408	32.81	0.41123	32.283	0.45301
4.3944	59.603	0.35509	54.749	0.38966	4.3944	32.832	0.40947	32.307	0.45111
4.448	59.664	0.3554	54.813	0.3898	4.448	32.85	0.40803	32.329	0.44961
4.5016	59.627	0.35462	54.782	0.38896	4.5016	32.825	0.40845	32.307	0.45003
4.5552	59.658	0.35371	54.811	0.38809	4.5552	32.876	0.40704	32.358	0.4484
4.6088	59.679	0.35425	54.832	0.38864	4.6088	32.878	0.40701	32.36	0.44836
4.6624	59.605	0.35342	54.764	0.38782	4.6624	32.88	0.40889	32.366	0.45027
4.716	59.659	0.35336	54.813	0.38775	4.716	32.933	0.40845	32.419	0.44978
4.7696	59.639	0.3542	54.797	0.38858	4.7696	32.911	0.40859	32.399	0.45002
4.8232	59.661	0.35399	54.817	0.38838	4.8232	32.942	0.40817	32.431	0.44951
4.8767	59.639	0.35512	54.802	0.38952	4.8767	32.914	0.40704	32.404	0.4484
4.9303	59.674	0.35495	54.838	0.38934	4.9303	32.919	0.40601	32.409	0.44724
4.9839	59.703	0.35502	54.869	0.38938	4.9839	32.952	0.40419	32.444	0.44526
5.0375	59.714	0.35491	54.885	0.38925	5.0375	32.997	0.4033	32.493	0.44419
5.0911	59.762	0.355	54.93	0.38931	5.0911	33.017	0.40293	32.512	0.44371
5.1447	59.757	0.35509	54.927	0.38936	5.1447	33.024	0.40236	32.521	0.4431
5.1983	59.74	0.35485	54.913	0.38915	5.1983	33.057	0.40261	32.556	0.4433
5.2519	59.721	0.35374	54.895	0.38804	5.2519	33.064	0.40391	32.566	0.44457
5.3055	59.675	0.35438	54.856	0.38873	5.3055	33.05	0.40344	32.552	0.44407
5.3591	59.725	0.35495	54.905	0.38917	5.3591	33.113	0.40252	32.62	0.44307
5.4126	59.744	0.35459	54.924	0.3888	5.4126	33.187	0.40247	32.697	0.44288
5.4662	59.748	0.35469	54.931	0.38889	5.4662	33.19	0.40199	32.7	0.44232
5.5198	59.759	0.3548	54.946	0.38895	5.5198	33.204	0.40196	32.718	0.44228
5.5734	59.786	0.35462	54.972	0.38878	5.5734	33.228	0.40151	32.742	0.44172
5.627	59.793	0.35509	54.982	0.38921	5.627	33.214	0.40066	32.728	0.44086
5.6806	59.739	0.355	54.935	0.38912	5.6806	33.191	0.40176	32.708	0.44198
5.7342	59.769	0.35496	54.966	0.38906	5.7342	33.201	0.40111	32.719	0.44127
5.7878	59.758	0.35447	54.959	0.38851	5.7878	33.208	0.40137	32.729	0.44152
5.8414	59.754	0.3542	54.958	0.38821	5.8414	33.205	0.40123	32.726	0.44136
5.895	59.797	0.35386	55	0.38782	5.895	33.259	0.40084	32.783	0.44085
5.9486	59.802	0.35382	55.006	0.38779	5.9486	33.275	0.40061	32.799	0.44059
6.0021	59.794	0.35444	55.001	0.38839	6.0021	33.277	0.39966	32.801	0.43965
6.0557	59.826	0.35362	55.033	0.38755	6.0557	33.312	0.39839	32.837	0.43825
6.1093	59.857	0.35423	55.063	0.38817	6.1093	33.281	0.39866	32.805	0.43857
6.1629	59.856	0.3547	55.066	0.38864	6.1629	33.294	0.39817	32.82	0.43804
6.2165	59.892	0.35481	55.1	0.38874	6.2165	33.299	0.39743	32.825	0.4373
6.2701	59.895	0.35428	55.104	0.3882	6.2701	33.313	0.39799	32.84	0.43779
6.3237	59.864	0.35392	55.074	0.38788	6.3237	33.299	0.39956	32.828	0.43944
6.3773	59.916	0.35343	55.119	0.38736	6.3773	33.339	0.39958	32.869	0.4395
6.4309	59.84	0.35244	55.045	0.3864	6.4309	33.345	0.4008	32.877	0.44068
6.4845	59.804	0.35208	55.012	0.38606	6.4845	33.338	0.40102	32.87	0.44082
6.538	59.87	0.3517	55.073	0.38564	6.538	33.366	0.4007	32.898	0.44048
6.5916	59.851	0.35175	55.059	0.38571	6.5916	33.35	0.40119	32.883	0.44096
6.6452	59.874	0.35156	55.085	0.38546	6.6452	33.349	0.40139	32.884	0.44117
6.6988	59.923	0.35173	55.132	0.38565	6.6988	33.362	0.40061	32.898	0.44029
6.7524	59.911	0.3525	55.121	0.38641	6.7524	33.346	0.40001	32.881	0.43971
6.806	59.932	0.35158	55.14	0.38544	6.806	33.362	0.40095	32.898	0.44067
6.8596	59.928	0.35263	55.137	0.38648	6.8596	33.346	0.4005	32.884	0.44031
6.9132	59.94	0.35209	55.146	0.38591	6.9132	33.378	0.40021	32.916	0.43999
6.9668	59.949	0.35135	55.156	0.38512	6.9668	33.386	0.40057	32.926	0.44034
7.0204	59.902	0.35128	55.11	0.38507	7.0204	33.383	0.40122	32.923	0.44106
7.074	59.935	0.35037	55.141	0.38413	7.074	33.428	0.4013	32.97	0.44104
7.1275	59.919	0.35111	55.128	0.38491	7.1275	33.411	0.40094	32.952	0.4407
7.1811	59.929	0.35101	55.136	0.3848	7.1811	33.416	0.40089	32.956	0.44063
7.2347	59.897	0.35131	55.107	0.3851	7.2347	33.418	0.40092	32.959	0.44066
7.2883	59.935	0.3515	55.144	0.38525	7.2883	33.426	0.40042	32.968	0.44015
7.3419	59.946	0.35162	55.154	0.38537	7.3419	33.421	0.40025	32.964	0.43995
7.3955	59.929	0.35055	55.139	0.38433	7.3955	33.416	0.40117	32.959	0.44082
7.4491	59.885	0.35058	55.098	0.38439	7.4491	33.397	0.4015	32.939	0.44118
7.5027	59.898	0.35006	55.11	0.38385	7.5027	33.424	0.40177	32.968	0.44138
7.5563	59.88	0.35052	55.096	0.38426	7.5563	33.424	0.40159	32.968	0.44125
7.6099	59.87	0.3513	55.091	0.38496	7.6099	33.404	0.40162	32.95	0.44132
7.6635	59.93	0.35316	55.153	0.38661	7.6635	33.393	0.39981	32.94	0.43962
7.717	60.001	0.35278	55.228	0.38594	7.717	33.42	0.39915	32.972	0.43904
7.7706	60.06	0.3521	55.286	0.38507	7.7706	33.483	0.39909	33.039	0.43899
7.8242	60.071	0.35195	55.298	0.38478	7.8242	33.512	0.39933	33.072	0.43927
7.8778	60.122	0.3515	55.347	0.38423	7.8778	33.546	0.39962	33.11	0.43958
7.9314	60.134	0.35046	55.358	0.38314	7.9314	33.583	0.40114	33.15	0.44107
7.985	60.082	0.35006	55.308	0.38269	7.985	33.624	0.40184	33.198	0.44172
8.0386	60.143	0.34924	55.36	0.38187	8.0386	33.624	0.40214	33.194	0.44204
8.0922	60.107	0.35006	55.323	0.38273	8.0922	33.586	0.40179	33.155	0.44178
8.1458	60.09	0.34923	55.306	0.38189	8.1458	33.618	0.40243	33.189	0.44233
8.1994	60.018	0.34917	55.239	0.38184	8.1994	33.624	0.40346	33.197	0.44333
8.2529	60.002	0.34755	55.22	0.38022	8.2529	33.68	0.40505	33.254	0.44481
8.3065	59.971	0.34741	55.191	0.38005	8.3065	33.661	0.40534	33.238	0.44515
8.3601	59.948	0.34653	55.168	0.37914	8.3601	33.67	0.40669	33.248	0.44656
8.4137	59.948	0.3454	55.165	0.37801	8.4137	33.693	0.40811	33.274	0.44795
8.4673	59.957	0.34494	55.173	0.3775	8.4673	33.74	0.40812	33.322	0.44786
8.5209	59.978	0.34434	55.189	0.37688	8.5209	33.798	0.40818	33.381	0.44782
8.5745	59.935	0.34466	55.148	0.37725	8.5745	33.771	0.40896	33.353	0.44869
8.6281	59.917	0.34455	55.13	0.37716	8.6281	33.761	0.40905	33.341	0.44881
8.6817	59.921	0.34474	55.131	0.37736	8.6817	33.768	0.40889	33.347	0.44866
8.7353	59.886	0.34496	55.097	0.37762	8.7353	33.737	0.40959	33.315	0.44946
8.7889	59.889	0.34493	55.097	0.3776	8.7889	33.725	0.40936	33.299	0.44928
8.8424	59.886	0.34461	55.091	0.37728	8.8424	33.722	0.40927	33.294	0.44923
8.896	59.927	0.34275	55.125	0.37538	8.896	33.784	0.41034	33.357	0.4502
8.9496	59.964	0.34285	55.157	0.37547	8.9496	33.811	0.41016	33.383	0.44998
9.0032	59.936	0.34352	55.13	0.3762	9.0032	33.804	0.40987	33.375	0.44971
9.0568	59.967	0.34262	55.157	0.37531	9.0568	33.84	0.41008	33.41	0.44983
9.1104	59.894	0.34375	55.089	0.37649	9.1104	33.792	0.40983	33.362	0.44971
9.164	59.955	0.34246	55.142	0.37518	9.164	33.869	0.40957	33.437	0.44933
9.2176	59.902	0.34279	55.091	0.37558	9.2176	33.848	0.40963	33.411	0.44939
9.2712	59.892	0.34257	55.08	0.37539	9.2712	33.848	0.40956	33.41	0.44929
9.3248	59.894	0.34257	55.077	0.37542	9.3248	33.836	0.40992	33.395	0.44969
9.3783	59.915	0.34286	55.095	0.37571	9.3783	33.851	0.40948	33.41	0.44927
9.4319	59.863	0.3431	55.047	0.37598	9.4319	33.851	0.40989	33.413	0.44968
9.4855	59.865	0.34257	55.047	0.37544	9.4855	33.843	0.4105	33.403	0.45035
9.5391	59.899	0.34276	55.076	0.37564	9.5391	33.84	0.40996	33.398	0.44984
9.5927	59.909	0.34254	55.083	0.37543	9.5927	33.87	0.40997	33.428	0.44982
9.6463	59.867	0.34318	55.04	0.37611	9.6463	33.838	0.4106	33.397	0.45057
9.6999	59.851	0.34256	55.022	0.37551	9.6999	33.849	0.41154	33.408	0.45154
9.7535	59.818	0.34298	54.989	0.37596	9.7535	33.806	0.41217	33.363	0.4523
9.8071	59.757	0.3428	54.931	0.37584	9.8071	33.766	0.41313	33.322	0.45333
9.8607	59.764	0.34293	54.935	0.37596	9.8607	33.756	0.41307	33.31	0.45336
9.9143	59.725	0.3429	54.897	0.37596	9.9143	33.727	0.41403	33.28	0.45442
9.9678	59.72	0.34293	54.89	0.376	9.9678	33.687	0.41405	33.238	0.45453
10.021	59.678	0.34276	54.848	0.37588	10.021	33.688	0.41471	33.239	0.45519
10.075	59.743	0.34255	54.904	0.37565	10.075	33.701	0.41447	33.25	0.455
10.129	59.673	0.34277	54.835	0.37595	10.129	33.672	0.4149	33.219	0.45546
10.182	59.587	0.34231	54.752	0.37554	10.182	33.632	0.41614	33.177	0.45678
10.236	59.582	0.34282	54.745	0.37607	10.236	33.6	0.4165	33.143	0.45727
10.289	59.583	0.34228	54.741	0.37556	10.289	33.61	0.41741	33.151	0.45822
10.343	59.574	0.34196	54.73	0.37524	10.343	33.618	0.41776	33.159	0.45856
10.397	59.53	0.34263	54.687	0.37597	10.397	33.592	0.41821	33.131	0.45912
10.45	59.574	0.34205	54.723	0.37538	10.45	33.595	0.41884	33.132	0.45981
10.504	59.554	0.34197	54.701	0.37534	10.504	33.599	0.41901	33.134	0.46001
10.557	59.489	0.34192	54.637	0.3753	10.557	33.57	0.41963	33.104	0.4607
10.611	59.505	0.34117	54.648	0.37456	10.611	33.564	0.42065	33.096	0.4618
10.665	59.514	0.3416	54.654	0.37501	10.665	33.56	0.4204	33.09	0.4616
10.718	59.449	0.34134	54.59	0.3748	10.718	33.541	0.42142	33.072	0.46266
10.772	59.451	0.34148	54.589	0.37496	10.772	33.542	0.42193	33.072	0.46323
10.825	59.486	0.34145	54.617	0.37494	10.825	33.539	0.42203	33.066	0.46341
10.879	59.431	0.34121	54.564	0.37474	10.879	33.503	0.42349	33.03	0.46495
10.932	59.395	0.34138	54.528	0.37496	10.932	33.484	0.4244	33.011	0.46594
10.986	59.413	0.34122	54.541	0.37481	10.986	33.471	0.42463	32.995	0.4663
11.04	59.389	0.34137	54.515	0.37499	11.04	33.435	0.42528	32.957	0.46706
11.093	59.368	0.34204	54.494	0.3757	11.093	33.421	0.42474	32.941	0.46656
11.147	59.391	0.34232	54.511	0.37601	11.147	33.412	0.42433	32.929	0.46621
11.2	59.373	0.34278	54.492	0.37652	11.2	33.392	0.42473	32.906	0.4667
11.254	59.338	0.34254	54.456	0.37632	11.254	33.364	0.42535	32.876	0.46738
11.308	59.335	0.34363	54.452	0.37743	11.308	33.342	0.42471	32.853	0.46678
11.361	59.37	0.34244	54.479	0.37623	11.361	33.375	0.42566	32.884	0.46772
11.415	59.364	0.343	54.471	0.37683	11.415	33.344	0.4259	32.852	0.46806
11.468	59.376	0.34337	54.478	0.37722	11.468	33.356	0.426	32.863	0.46818
11.522	59.352	0.34255	54.451	0.37644	11.522	33.353	0.42754	32.859	0.4698
11.576	59.348	0.34284	54.444	0.37676	11.576	33.337	0.42774	32.84	0.47007
11.629	59.333	0.34342	54.427	0.37739	11.629	33.325	0.42786	32.828	0.47023
11.683	59.352	0.34335	54.442	0.37731	11.683	33.29	0.42877	32.793	0.47129
11.736	59.38	0.34361	54.465	0.37758	11.736	33.294	0.42885	32.795	0.47141
11.79	59.4	0.34388	54.478	0.37786	11.79	33.313	0.42795	32.811	0.4705
11.844	59.393	0.34403	54.468	0.37804	11.844	33.318	0.42859	32.818	0.47119
11.897	59.369	0.34368	54.443	0.37776	11.897	33.307	0.42981	32.806	0.47249
11.951	59.407	0.3447	54.475	0.3788	11.951	33.284	0.42945	32.781	0.47218
12.004	59.404	0.34462	54.471	0.37875	12.004	33.287	0.42991	32.783	0.47267
12.058	59.404	0.34494	54.468	0.3791	12.058	33.272	0.43024	32.767	0.47312
12.111	59.376	0.34464	54.438	0.37883	12.111	33.274	0.43073	32.767	0.47363
12.165	59.322	0.34429	54.384	0.37853	12.165	33.256	0.43223	32.75	0.47521
12.219	59.321	0.34489	54.378	0.37918	12.219	33.226	0.43204	32.717	0.47513
12.272	59.322	0.34582	54.379	0.38013	12.272	33.203	0.43119	32.689	0.47434
12.326	59.335	0.34549	54.385	0.37984	12.326	33.202	0.43134	32.685	0.47448
12.379	59.291	0.34584	54.342	0.38024	12.379	33.187	0.43218	32.67	0.4754
12.433	59.227	0.34591	54.28	0.38036	12.433	33.163	0.43312	32.646	0.47648
12.487	59.3	0.34574	54.341	0.38019	12.487	33.156	0.43351	32.634	0.47698
12.54	59.293	0.3457	54.33	0.38019	12.54	33.152	0.43391	32.628	0.47746
12.594	59.216	0.34622	54.257	0.38077	12.594	33.114	0.43436	32.59	0.47799
12.647	59.239	0.34561	54.275	0.38015	12.647	33.118	0.43477	32.591	0.47843
12.701	59.222	0.34603	54.256	0.38061	12.701	33.097	0.4355	32.568	0.47932
12.755	59.182	0.34592	54.214	0.38056	12.755	33.06	0.43608	32.529	0.47995
12.808	59.189	0.34673	54.217	0.38139	12.808	33.025	0.43647	32.491	0.48054
12.862	59.216	0.34658	54.237	0.38129	12.862	33.046	0.437	32.51	0.48112
12.915	59.182	0.34676	54.202	0.38151	12.915	33.015	0.43784	32.476	0.48205
12.969	59.14	0.34711	54.162	0.38191	12.969	32.996	0.43903	32.457	0.48333
13.023	59.177	0.34799	54.192	0.38284	13.023	32.995	0.43884	32.453	0.48326
13.076	59.187	0.34815	54.197	0.38304	13.076	33.009	0.43937	32.464	0.48385
13.13	59.134	0.34816	54.145	0.38307	13.13	32.977	0.44048	32.434	0.48507
13.183	59.157	0.34887	54.163	0.38378	13.183	32.935	0.43953	32.388	0.48424
13.237	59.137	0.34866	54.14	0.3836	13.237	32.929	0.44022	32.379	0.48496
13.29	59.134	0.34741	54.13	0.38238	13.29	32.924	0.44101	32.368	0.48585
13.344	59.15	0.34889	54.144	0.38388	13.344	32.886	0.44001	32.327	0.48492
13.398	59.131	0.34858	54.122	0.38362	13.398	32.835	0.44154	32.275	0.48663
13.451	59.174	0.34927	54.161	0.38432	13.451	32.822	0.4411	32.26	0.48629
13.505	59.139	0.34917	54.124	0.38426	13.505	32.775	0.44209	32.209	0.48744
13.558	59.121	0.34922	54.105	0.38434	13.558	32.725	0.44372	32.158	0.48924
13.612	59.128	0.35002	54.11	0.38518	13.612	32.708	0.44409	32.139	0.48974
13.666	59.118	0.3496	54.096	0.38479	13.666	32.716	0.44498	32.147	0.49072
